Timestamp;Value
2001-01-11;303
2001-02-11;318
2001-03-11;319
2001-04-11;315
2001-05-11;305
2001-06-11;273
2001-07-11;252
2001-08-11;239
2001-10-11;248
2001-10-20;316
2001-10-21;317
2001-10-22;324
2001-10-23;322
2001-10-24;310
2001-10-25;299
2001-10-26;302
2001-10-27;304
2001-10-28;300
2001-10-29;300
2001-10-30;300
2001-10-31;299
2001-11-01;303
2001-11-02;318
2001-11-03;319
2001-11-04;315
2001-11-05;305
2001-11-06;273
2001-11-07;252
2001-11-08;239
2001-11-09;248
2001-11-10;248
2001-11-11;255
2001-11-12;245
2001-11-13;234
2001-11-14;252
2001-11-15;269
2001-11-16;-68
2001-11-17;303
2001-11-18;298
2001-11-19;300
2001-11-20;307
2001-11-21;312
2001-12-11;245
2002-03-16;402
2002-03-17;396
2002-03-18;381
2002-03-19;369
2002-03-20;369
2002-03-21;364
2002-03-22;355
2002-03-23;357
2002-03-24;361
2002-03-25;363
2002-03-26;365
2002-03-27;365
2002-03-28;357
2002-03-29;352
2002-03-30;363
2002-03-31;378
2002-04-01;389
2002-04-02;391
2002-04-05;373
2002-04-06;374
2002-04-07;383
2002-04-08;387
2002-04-09;392
2002-04-10;394
2002-04-11;390
2002-04-12;387
2002-04-13;390
2002-04-14;397
2002-04-15;409
2002-04-16;415
2002-04-17;419
2002-04-18;415
2002-04-19;396
2002-04-20;396
2002-04-21;410
2002-04-22;417
2002-04-23;424
2002-04-24;419
2002-04-25;413
2002-04-26;386
2002-04-27;388
2002-04-28;330
2002-04-29;322
2002-04-30;322
2002-05-01;347
2002-05-02;367
2002-05-03;363
2002-05-04;381
2002-05-05;380
2002-05-06;386
2002-05-07;386
2002-05-08;383
2002-05-09;375
2002-05-10;369
2002-05-11;369
2002-05-12;388
2002-05-13;409
2002-05-14;422
2002-05-15;460
2002-05-16;470
2002-05-17;476
2002-05-18;474
2002-05-19;467
2002-05-20;461
2002-05-21;444
2002-05-22;427
2002-05-23;413
2002-05-24;405
2002-05-25;406
2002-05-26;422
2002-05-27;429
2002-05-28;408
2002-05-29;381
2002-05-30;366
2002-05-31;355
2002-06-01;368
2002-06-02;444
2002-06-03;508
2002-06-04;508
2002-06-05;478
2002-06-06;450
2002-06-07;425
2002-06-08;403
2002-06-09;384
2002-06-10;379
2002-06-11;380
2002-06-12;379
2002-06-13;368
2002-06-14;367
2002-06-15;358
2002-06-16;344
2002-06-17;338
2002-06-18;331
2002-06-19;322
2002-06-20;314
2002-06-21;315
2002-06-22;325
2002-06-23;350
2002-06-24;370
2002-06-25;374
2002-06-26;368
2002-06-27;363
2002-06-28;363
2002-06-29;357
2002-06-30;348
2002-07-01;340
2002-07-02;315
2002-07-03;303
2002-07-04;324
2002-07-05;352
2002-07-06;374
2002-07-07;387
2002-07-08;390
2002-07-09;379
2002-07-10;363
2002-07-11;353
2002-07-12;356
2002-07-16;471
2002-07-17;450
2002-07-18;431
2002-07-19;404
2002-07-24;337
2002-07-25;342
2002-07-26;343
2002-07-29;347
2002-07-30;433
2002-07-31;428
2002-08-01;392
2002-08-02;384
2002-08-03;398
2002-08-04;402
2002-08-05;407
2002-08-06;426
2002-08-07;443
2002-08-08;508
2002-08-09;541
2002-08-10;538
2002-08-11;525
2002-08-12;500
2002-08-13;466
2002-08-14;421
2002-08-15;393
2002-08-16;382
2002-08-17;379
2002-08-18;383
2002-08-19;378
2002-08-20;375
2002-08-21;362
2002-08-22;346
2002-08-23;346
2002-08-24;345
2002-08-25;344
2002-08-26;346
2002-08-27;346
2002-08-28;337
2002-08-29;333
2002-08-30;340
2002-08-31;342
2002-09-01;340
2002-09-02;342
2002-09-03;347
2002-09-04;340
2002-09-05;343
2002-09-06;372
2002-09-07;471
2002-09-08;532
2002-09-09;508
2002-09-10;457
2002-09-11;421
2002-09-12;398
2002-09-13;382
2002-09-14;382
2002-09-15;378
2002-09-16;374
2002-09-17;376
2002-09-18;372
2002-09-19;365
2002-09-20;360
2002-09-21;359
2002-09-22;352
2002-09-23;349
2002-09-24;348
2002-09-25;345
2002-09-26;342
2002-09-27;349
2002-09-28;345
2002-09-29;343
2002-09-30;341
2002-10-01;339
2002-10-02;333
2002-10-03;328
2002-10-04;327
2002-10-05;315
2002-10-06;306
2002-10-07;308
2002-10-08;310
2002-10-09;298
2002-10-10;292
2002-10-11;304
2002-10-12;310
2002-10-13;304
2002-10-14;299
2002-10-15;301
2002-10-16;298
2002-10-17;289
