Timestamp;Value
2001-01-01;359
2007-10-06;626
2008-01-01;9420
2008-01-02;9417
2008-01-03;9414
2008-01-04;9411
2008-01-05;9407
2008-01-06;9404
2008-01-07;9401
2008-01-08;9399
2008-01-09;9395
2008-01-10;9392
2008-01-11;9388
2008-01-12;9384
2008-01-13;9380
2008-01-14;9377
2008-01-15;9372
2008-01-16;9367
2008-01-17;9364
2008-01-18;9361
2008-01-19;9358
2008-01-20;9354
2008-01-21;9352
2008-01-22;9350
2008-01-23;9347
2008-01-24;9344
2008-01-25;9341
2008-01-26;9338
2008-01-27;9336
2008-01-28;9334
2008-01-29;9333
2008-01-30;9329
2008-01-31;9326
2008-02-01;9323
2008-02-02;9321
2008-02-03;9318
2008-02-04;9314
2008-02-05;9312
2008-02-06;9310
2008-02-07;9307
2008-02-08;9303
2008-02-09;9300
2008-02-10;9297
2008-02-11;9294
2008-02-12;9291
2008-02-13;9288
2008-02-14;9284
2008-02-15;9281
2008-02-16;9279
2008-02-17;9276
2008-02-18;9272
2008-02-19;9270
2008-02-20;9269
2008-02-21;9266
2008-02-22;9260
2008-02-23;9257
2008-02-24;9253
2008-02-25;9250
2008-02-26;9246
2008-02-27;9242
2008-02-28;9239
2008-02-29;9236
2008-03-01;9234
2008-03-02;9232
2008-03-03;9229
2008-03-04;9227
2008-03-05;9224
2008-03-06;9222
2008-03-07;9219
2008-03-08;9216
2008-03-09;9213
2008-03-10;9210
2008-03-11;9208
2008-03-12;9204
2008-03-13;9202
2008-03-14;9199
2008-03-15;9195
2008-03-16;9191
2008-03-17;9185
2008-03-18;9182
2008-03-19;9179
2008-03-20;9178
2008-03-21;9174
2008-03-22;9170
2008-03-23;9168
2008-03-24;9166
2008-03-25;9165
2008-03-26;9161
2008-03-27;9156
2008-03-28;9153
2008-03-29;9150
2008-03-30;9146
2008-03-31;9143
2008-04-01;9140
2008-04-02;9137
2008-04-03;9133
2008-04-04;9129
2008-04-05;9123
2008-04-06;9122
2008-04-07;9119
2008-04-08;9116
2008-04-09;9112
2008-04-10;9110
2008-04-11;9107
2008-04-12;9103
2008-04-13;9100
2008-04-14;9097
2008-04-15;9093
2008-04-16;9088
2008-04-17;9085
2008-04-18;9083
2008-04-19;9080
2008-04-20;9079
2008-04-21;9077
2008-04-22;9075
2008-04-23;9073
2008-04-24;9072
2008-04-25;9070
2008-04-26;9070
2008-04-27;9068
2008-04-28;9065
2008-04-29;9062
2008-04-30;9061
2008-05-01;9059
2008-05-02;9057
2008-05-03;9056
2008-05-04;9056
2008-05-05;9056
2008-05-06;9057
2008-05-07;9057
2008-05-08;9058
2008-05-09;9061
2008-05-10;9065
2008-05-11;9066
2008-05-12;9067
2008-05-13;9070
2008-05-14;9074
2008-05-15;9077
2008-05-16;9083
2008-05-17;9083
2008-05-18;9087
2008-05-19;9089
2008-05-20;9091
2008-05-21;9092
2008-05-22;9093
2008-05-23;9093
2008-05-24;9092
2008-05-25;9090
2008-05-26;9090
2008-05-27;9090
2008-05-28;9088
2008-05-29;9087
2008-05-30;9086
2008-05-31;9085
2008-06-01;9083
2008-06-02;9082
2008-06-03;9082
2008-06-04;9082
2008-06-05;9080
2008-06-06;9078
2008-06-07;9078
2008-06-08;9077
2008-06-09;9078
2008-06-10;9075
2008-06-11;9073
2008-06-12;9070
2008-06-13;9068
2008-06-14;9069
2008-06-15;9070
2008-06-16;9071
2008-06-17;9069
2008-06-18;9067
2008-06-19;9066
2008-06-20;9063
2008-06-21;9063
2008-06-22;9062
2008-06-23;9059
2008-06-24;9057
2008-06-25;9056
2008-06-26;9054
2008-06-27;9053
2008-06-28;9051
2008-06-29;9051
2008-06-30;9050
2008-07-01;9048
2008-07-02;9046
2008-07-03;9045
2008-07-04;9043
2008-07-05;9044
2008-07-06;9050
2008-07-07;9062
2008-07-08;9077
2008-07-09;9086
2008-07-10;9091
2008-07-11;9096
2008-07-12;9101
2008-07-13;9105
2008-07-14;9114
2008-07-15;9123
2008-07-16;9127
2008-07-17;9137
2008-07-18;9141
2008-07-19;9145
2008-07-20;9147
2008-07-21;9151
2008-07-22;9150
2008-07-23;9151
2008-07-24;9153
2008-07-25;9154
2008-07-26;9154
2008-07-27;9155
2008-07-28;9155
2008-07-29;9164
2008-07-30;9172
2008-07-31;9179
2008-08-01;9192
2008-08-02;9200
2008-08-03;9213
2008-08-04;9227
2008-08-05;9237
2008-08-06;9253
2008-08-07;9275
2008-08-08;9283
2008-08-09;9290
2008-08-10;9299
2008-08-11;9307
2008-08-12;9315
2008-08-13;9320
2008-08-14;9325
2008-08-15;9329
2008-08-16;9332
2008-08-17;9338
2008-08-18;9343
2008-08-19;9346
2008-08-20;9352
2008-08-21;9353
2008-08-22;9355
2008-08-23;9356
2008-08-24;9356
2008-08-25;9358
2008-08-26;9361
2008-08-27;9364
2008-08-28;9366
2008-08-29;9368
2008-08-30;9368
2008-08-31;9368
2008-09-01;9377
2008-09-02;9383
2008-09-03;9392
2008-09-04;9398
2008-09-05;9399
2008-09-06;9406
2008-09-07;9412
2008-09-08;9426
2008-09-09;9447
2008-09-10;9464
2008-09-11;9473
2008-09-12;9481
2008-09-13;9486
2008-09-14;9490
2008-09-15;9495
2008-09-16;9513
2008-09-17;9538
2008-09-18;9559
2008-09-19;9572
2008-09-20;9584
2008-09-21;9591
2008-09-22;9597
2008-09-23;9604
2008-09-24;9613
2008-09-25;9619
2008-09-26;9620
2008-09-27;9622
2008-09-28;9624
2008-09-29;9625
2008-09-30;9626
2008-10-01;9625
2008-10-02;9627
2008-10-03;9629
2008-10-04;9629
2008-10-05;9628
2008-10-06;9629
2008-10-07;9627
2008-10-08;9626
2008-10-09;9628
2008-10-10;9629
2008-10-11;9630
2008-10-12;9629
2008-10-13;9629
2008-10-14;9629
2008-10-15;9627
2008-10-16;9625
2008-10-17;9625
2008-10-18;9621
2008-10-19;9620
2008-10-20;9621
2008-10-21;9621
2008-10-22;9620
2008-10-23;9617
2008-10-24;9616
2008-10-25;9619
2008-10-26;9623
2008-10-27;9623
2008-10-28;9622
2008-10-29;9622
2008-10-30;9620
2008-10-31;9620
2008-11-01;9618
2008-11-02;9618
2008-11-03;9616
2008-11-04;9614
2008-11-05;9609
2008-11-06;9607
2008-11-07;9607
2008-11-08;9604
2008-11-09;9601
2008-11-10;9598
2008-11-11;9598
2008-11-12;9597
2008-11-13;9591
2008-11-14;9589
2008-11-15;9586
2008-11-16;9584
2008-11-17;9583
2008-11-18;9581
2008-11-19;9580
2008-11-20;9577
2008-11-21;9575
2008-11-22;9574
2008-11-23;9572
2008-11-24;9569
2008-11-25;9565
2008-11-26;9563
2008-11-27;9559
2008-11-28;9560
2008-11-29;9557
2008-11-30;9553
2008-12-01;9553
2008-12-02;9552
2008-12-03;9550
2008-12-04;9548
2008-12-05;9546
2008-12-06;9543
2008-12-07;9540
2008-12-08;9539
2008-12-09;9537
2008-12-10;9535
2008-12-11;9533
2008-12-12;9531
2008-12-13;9528
2008-12-14;9526
2008-12-15;9524
2008-12-16;9522
2008-12-17;9521
2008-12-18;9517
2008-12-19;9514
2008-12-20;9514
2008-12-21;9510
2008-12-22;9509
2008-12-23;9505
2008-12-24;9503
2008-12-25;9501
2008-12-26;9498
2008-12-27;9495
2008-12-28;9494
2008-12-29;9493
2008-12-30;9489
2008-12-31;9487
2009-01-01;9483
2009-01-02;9481
2009-01-03;9480
2009-01-04;9477
2009-01-05;9476
2009-01-06;9473
2009-01-07;9470
2009-01-08;9468
2009-01-09;9466
2009-01-10;9463
2009-01-11;9460
2009-01-12;9457
2009-01-13;9455
2009-01-14;9453
2009-01-15;9451
2009-01-16;9448
2009-01-17;9446
2009-01-18;9443
2009-01-19;9442
2009-01-20;9438
2009-01-21;9437
