Timestamp;Value
2001-01-11;354
2001-05-11;358
2001-06-11;355
2001-10-11;349
2001-10-20;405
2001-10-21;368
2001-10-22;359
2001-10-23;356
2001-10-27;356
2001-10-28;349
2001-10-29;357
2001-10-30;359
2001-10-31;358
2001-11-01;354
2001-11-05;358
2001-11-06;355
2001-11-10;349
2001-11-11;336
2001-11-12;330
2001-11-13;337
2001-11-17;350
2001-11-18;347
2001-11-19;346
2001-12-11;330
2002-03-16;405
2002-03-17;396
2002-03-18;387
2002-03-19;385
2002-03-20;379
2002-03-21;383
2002-03-22;378
2002-03-23;382
2002-03-24;379
2002-03-25;383
2002-03-26;379
2002-03-27;382
2002-03-28;381
2002-03-29;378
2002-03-30;375
2002-03-31;377
2002-04-01;374
2002-04-02;366
2002-04-03;357
2002-04-04;354
2002-04-07;342
2002-04-08;343
2002-04-09;337
2002-04-10;340
2002-04-11;344
2002-04-12;347
2002-04-13;350
2002-04-14;346
2002-04-15;343
2002-04-16;339
2002-04-17;348
2002-04-18;346
2002-04-19;342
2002-04-20;343
2002-04-21;344
2002-04-22;340
2002-04-23;344
2002-04-24;348
2002-04-25;346
2002-04-26;350
2002-04-27;346
2002-04-28;347
2002-04-29;350
2002-04-30;356
2002-05-01;352
2002-05-02;348
2002-05-03;366
2002-05-04;360
2002-05-05;374
2002-05-06;370
2002-05-07;356
2002-05-08;350
2002-05-09;346
2002-05-10;357
2002-05-11;361
2002-05-14;401
2002-05-15;393
2002-05-16;389
2002-05-17;412
2002-05-18;374
2002-05-19;377
2002-05-20;379
2002-05-21;367
2002-05-22;414
2002-05-23;401
2002-05-24;396
2002-05-25;405
2002-05-26;381
2002-05-27;371
2002-05-28;340
2002-05-29;392
2002-05-30;388
2002-05-31;409
2002-06-01;406
2002-06-02;399
2002-06-03;395
2002-06-04;391
2002-06-05;396
2002-06-06;371
2002-06-07;396
2002-06-08;373
2002-06-09;379
2002-06-10;377
2002-06-11;389
2002-06-12;408
2002-06-13;390
2002-06-14;394
2002-06-15;393
2002-06-16;394
2002-06-17;369
2002-06-18;352
2002-06-19;379
2002-06-20;381
2002-06-21;416
2002-06-22;409
2002-06-23;399
2002-06-24;381
2002-06-25;386
2002-06-26;392
2002-06-27;389
2002-06-28;372
2002-06-29;362
2002-06-30;321
2002-07-01;335
2002-07-02;345
2002-07-03;405
2002-07-04;412
2002-07-05;416
2002-07-06;396
2002-07-09;388
2002-07-10;388
2002-07-11;395
2002-07-16;420
2002-07-23;347
2002-07-26;342
2002-07-29;345
2002-07-30;339
2002-07-31;356
2002-08-01;380
2002-08-02;355
2002-08-03;373
2002-08-04;366
2002-08-05;343
2002-08-06;353
2002-08-07;360
2002-08-08;363
2002-08-09;404
2002-08-10;386
2002-08-11;379
2002-08-12;374
2002-08-13;376
2002-08-14;368
2002-08-15;363
2002-08-20;377
2002-08-21;368
2002-08-22;370
2002-08-23;379
2002-08-24;388
2002-08-25;365
2002-08-26;385
2002-08-27;415
2002-08-28;407
2002-08-29;411
2002-08-30;401
2002-08-31;406
2002-09-01;401
2002-09-02;370
2002-09-03;389
2002-09-04;392
2002-09-05;379
2002-09-06;372
2002-09-07;362
2002-09-08;347
2002-09-09;327
2002-09-10;341
2002-09-11;352
2002-09-12;355
2002-09-13;351
2002-09-14;352
2002-09-15;347
2002-09-16;350
2002-09-17;350
2002-09-18;361
2002-09-19;367
2002-09-20;364
2002-09-21;373
2002-09-22;362
2002-09-23;359
2002-09-24;351
2002-09-25;358
2002-09-26;361
2002-09-27;360
2002-09-28;366
2002-09-29;363
2002-09-30;357
2002-10-01;358
2002-10-02;353
2002-10-03;337
2002-10-04;341
2002-10-05;349
2002-10-06;341
2002-10-07;329
2002-10-08;336
2002-10-09;357
2002-10-10;361
2002-10-11;369
2002-10-12;355
2002-10-13;357
2002-10-14;339
2002-10-15;324
2002-10-16;341
2002-10-17;357
2002-10-18;359
2002-10-19;366
2002-10-20;363
2002-10-21;361
2002-10-22;358
2002-10-23;342
2002-10-24;357
2002-10-25;363
2002-10-26;361
2002-10-27;367
2002-10-28;358
2002-10-29;332
2002-10-30;357
2002-10-31;341
2002-11-01;344
2002-11-02;355
2002-11-03;347
2002-11-04;339
2002-11-05;344
2002-11-06;351
2002-11-07;347
2002-11-08;344
2002-11-09;341
2002-11-10;344
2002-11-11;347
2002-11-12;351
2002-11-15;346
2002-11-16;348
2002-11-19;339
2003-02-21;379
2003-02-22;373
2003-02-23;375
2003-02-24;377
2003-03-16;382
2003-03-17;377
2003-03-18;383
2003-03-19;386
2003-03-20;384
2003-03-26;363
2003-03-27;357
2003-03-28;359
2003-03-29;364
2003-03-30;363
2003-03-31;357
2003-04-01;364
2003-04-02;361
2003-04-03;357
2003-04-04;369
2003-04-05;356
2003-04-06;383
2003-04-07;353
2003-04-08;356
2003-04-09;353
2003-04-10;351
2003-04-11;361
2003-04-12;355
2003-04-13;352
2003-04-14;352
2003-04-15;359
2003-04-16;357
2003-04-17;354
2003-04-18;360
2003-04-19;357
2003-04-20;365
2003-04-21;369
2003-04-22;363
2003-04-23;366
2003-04-24;369
2003-04-27;374
2003-04-28;377
2003-04-29;373
2003-04-30;367
2003-05-01;350
2003-05-02;358
2003-05-03;366
2003-05-04;360
2003-05-05;357
2003-05-06;367
2003-05-07;359
2003-05-08;363
2003-05-09;375
2003-05-10;367
2003-05-11;365
2003-05-12;357
2003-05-13;361
2003-05-14;357
2003-05-15;351
2003-05-16;357
2003-05-17;364
2003-05-18;361
2003-05-19;357
2003-05-20;355
2003-05-21;368
2003-05-22;365
2003-05-23;361
2003-05-24;345
2003-05-25;338
2003-05-26;341
2003-05-27;337
2003-05-28;358
2003-05-29;329
2003-05-30;335
2003-05-31;330
2003-06-01;327
2003-06-02;319
2003-06-03;354
2003-06-04;363
2003-06-05;362
2003-06-06;359
2003-06-07;347
2003-06-08;326
2003-06-09;358
2003-06-10;353
2003-06-13;392
2003-06-14;366
2003-06-15;358
2003-06-16;354
2003-06-17;357
2003-06-18;364
2003-06-19;374
2003-06-20;367
2003-06-21;369
2003-06-22;361
2003-06-23;367
2003-06-24;381
2003-06-25;395
2003-06-26;392
2003-06-27;369
2003-06-28;367
2003-06-29;390
2003-06-30;393
2003-07-01;449
2003-07-02;486
2003-07-03;490
2003-07-04;496
2003-07-05;498
2003-07-06;506
2003-07-07;480
2003-07-08;495
2003-07-09;480
2003-07-10;449
2003-07-11;420
2003-07-12;416
2003-07-13;406
2003-07-14;385
2003-07-15;404
2003-07-24;396
2003-07-25;394
2003-07-26;397
2003-07-27;417
2003-07-28;455
2003-07-29;459
2003-07-30;481
2003-07-31;480
2003-08-01;496
2003-08-02;494
2003-08-03;506
2003-08-04;480
2003-08-05;478
2003-08-06;456
2003-08-07;445
2003-08-08;414
2003-08-09;405
2003-08-10;395
2003-08-11;379
2003-08-12;382
2003-08-13;379
2003-08-14;377
2003-08-15;379
2003-08-16;405
2003-08-17;413
2003-08-18;396
2003-08-19;395
2003-08-20;397
2003-08-21;468
2003-08-22;476
2003-08-23;422
2003-08-24;405
2003-08-25;385
2003-08-26;391
2003-08-27;369
2003-08-28;367
2003-08-29;372
2003-08-30;370
2003-08-31;368
2003-09-01;351
2003-09-02;361
2003-09-03;368
2003-09-04;371
2003-09-05;363
2003-09-06;357
2003-09-07;351
2003-09-08;328
2003-09-09;329
2003-09-10;341
2003-09-11;344
2003-09-12;342
2003-09-13;342
2003-09-14;339
2003-09-15;338
2003-09-16;346
2003-09-17;351
2003-09-18;359
2003-09-19;364
2003-09-20;397
2003-09-21;398
2003-09-22;399
2003-09-23;402
2003-09-24;398
2003-09-25;383
2003-09-26;395
2003-09-27;394
2003-09-28;377
2003-09-29;362
2003-09-30;373
2003-10-01;406
2003-10-02;379
2003-10-03;363
2003-10-04;374
2003-10-05;365
2003-10-06;342
2003-10-07;364
2003-10-08;360
2003-10-09;341
