Timestamp;Value
2001-01-01;335
2008-01-01;9414
2008-01-02;9411
2008-01-03;9410
2008-01-04;9409
2008-01-05;9404
2008-01-06;9401
2008-01-07;9399
2008-01-08;9396
2008-01-09;9392
2008-01-10;9388
2008-01-11;9382
2008-01-12;9381
2008-01-13;9379
2008-01-14;9376
2008-01-15;9370
2008-01-16;9365
2008-01-17;9362
2008-01-18;9359
2008-01-19;9356
2008-01-20;9353
2008-01-21;9350
2008-01-22;9348
2008-01-23;9345
2008-01-24;9342
2008-01-25;9339
2008-01-26;9336
2008-01-27;9333
2008-01-28;9331
2008-01-29;9329
2008-01-30;9327
2008-01-31;9324
2008-02-01;9321
2008-02-02;9318
2008-02-03;9316
2008-02-04;9312
2008-02-05;9310
2008-02-06;9309
2008-02-07;9305
2008-02-08;9302
2008-02-09;9298
2008-02-10;9295
2008-02-11;9292
2008-02-12;9289
2008-02-13;9286
2008-02-14;9282
2008-02-15;9279
2008-02-16;9276
2008-02-17;9273
2008-02-18;9270
2008-02-19;9267
2008-02-20;9266
2008-02-21;9264
2008-02-22;9258
2008-02-23;9255
2008-02-24;9252
2008-02-25;9249
2008-02-26;9244
2008-02-27;9240
2008-02-28;9237
2008-02-29;9234
2008-03-01;9233
2008-03-02;9230
2008-03-03;9228
2008-03-04;9225
2008-03-05;9221
2008-03-06;9218
2008-03-07;9215
2008-03-08;9211
2008-03-09;9207
2008-03-10;9205
2008-03-11;9201
2008-03-12;9199
2008-03-13;9197
2008-03-14;9194
2008-03-15;9191
2008-03-16;9187
2008-03-17;9184
2008-03-18;9180
2008-03-19;9178
2008-03-20;9177
2008-03-21;9173
2008-03-22;9168
2008-03-23;9166
2008-03-24;9163
2008-03-25;9162
2008-03-26;9159
2008-03-27;9155
2008-03-28;9151
2008-03-29;9147
2008-03-30;9144
2008-03-31;9140
2008-04-01;9137
2008-04-02;9134
2008-04-03;9131
2008-04-04;9126
2008-04-05;9122
2008-04-06;9119
2008-04-07;9117
2008-04-08;9113
2008-04-09;9110
2008-04-10;9108
2008-04-11;9105
2008-04-12;9102
2008-04-13;9098
2008-04-14;9094
2008-04-15;9091
2008-04-16;9086
2008-04-17;9082
2008-04-18;9078
2008-04-19;9075
2008-04-20;9072
2008-04-21;9070
2008-04-22;9070
2008-04-23;9068
2008-04-24;9067
2008-04-25;9065
2008-04-26;9065
2008-04-27;9065
2008-04-28;9065
2008-04-29;9061
2008-04-30;9060
2008-05-01;9058
2008-05-02;9056
2008-05-03;9055
2008-05-04;9053
2008-05-05;9053
2008-05-06;9053
2008-05-07;9055
2008-05-08;9055
2008-05-09;9057
2008-05-10;9060
2008-05-11;9062
2008-05-12;9063
2008-05-13;9064
2008-05-14;9067
2008-05-15;9070
2008-05-16;9075
2008-05-17;9077
2008-05-18;9079
2008-05-19;9081
2008-05-20;9084
2008-05-21;9086
2008-05-22;9088
2008-05-23;9089
2008-05-24;9088
2008-05-25;9087
2008-05-26;9087
2008-05-27;9087
2008-05-28;9086
2008-05-29;9084
2008-05-30;9083
2008-05-31;9080
2008-06-01;9079
2008-06-02;9078
2008-06-03;9077
2008-06-04;9076
2008-06-05;9075
2008-06-06;9075
2008-06-07;9074
2008-06-08;9073
2008-06-09;9073
2008-06-10;9072
2008-06-11;9070
2008-06-12;9069
2008-06-13;9067
2008-06-14;9066
2008-06-15;9066
2008-06-16;9066
2008-06-17;9064
2008-06-18;9063
2008-06-19;9062
2008-06-20;9060
2008-06-21;9059
2008-06-22;9056
2008-06-23;9055
2008-06-24;9053
2008-06-25;9053
2008-06-26;9051
2008-06-27;9051
2008-06-28;9048
2008-06-29;9046
2008-06-30;9046
2008-07-01;9046
2008-07-02;9043
2008-07-03;9041
2008-07-04;9039
2008-07-05;9039
2008-07-06;9045
2008-07-07;9050
2008-07-08;9066
2008-07-09;9078
2008-07-10;9083
2008-07-11;9089
2008-07-12;9095
2008-07-13;9099
2008-07-14;9107
2008-07-15;9114
2008-07-16;9122
2008-07-17;9129
2008-07-18;9136
2008-07-19;9139
2008-07-20;9142
2008-07-21;9146
2008-07-22;9146
2008-07-23;9146
2008-07-24;9148
2008-07-25;9150
2008-07-26;9152
2008-07-27;9153
2008-07-28;9153
2008-07-29;9156
2008-07-30;9163
2008-07-31;9170
2008-08-01;9184
2008-08-02;9196
2008-08-03;9205
2008-08-04;9216
2008-08-05;9228
2008-08-06;9245
2008-08-07;9258
2008-08-08;9271
2008-08-09;9286
2008-08-10;9294
2008-08-11;9301
2008-08-12;9309
2008-08-13;9312
2008-08-14;9317
2008-08-15;9321
2008-08-16;9324
2008-08-17;9329
2008-08-18;9334
2008-08-19;9339
2008-08-20;9346
2008-08-21;9346
2008-08-22;9347
2008-08-23;9348
2008-08-24;9349
2008-08-25;9352
2008-08-26;9353
2008-08-27;9356
2008-08-28;9359
2008-08-29;9361
2008-08-30;9362
2008-08-31;9363
2008-09-01;9367
2008-09-02;9371
2008-09-03;9379
2008-09-04;9387
2008-09-05;9390
2008-09-06;9396
2008-09-07;9403
2008-09-08;9417
2008-09-09;9440
2008-09-10;9458
2008-09-11;9466
2008-09-12;9473
2008-09-13;9478
2008-09-14;9481
2008-09-15;9489
2008-09-16;9500
2008-09-17;9531
2008-09-18;9540
2008-09-19;9557
2008-09-20;9568
2008-09-21;9587
2008-09-22;9594
2008-09-23;9602
2008-09-24;9608
2008-09-25;9614
2008-09-26;9619
2008-09-27;9619
2008-09-28;9621
2008-09-29;9623
2008-09-30;9624
2008-10-01;9625
2008-10-02;9625
2008-10-03;9625
2008-10-04;9625
2008-10-05;9626
2008-10-06;9627
2008-10-07;9626
2008-10-08;9625
2008-10-09;9625
2008-10-10;9627
2008-10-11;9627
2008-10-12;9627
2008-10-13;9626
2008-10-14;9626
2008-10-15;9625
2008-10-16;9623
2008-10-17;9623
2008-10-18;9620
2008-10-19;9618
2008-10-20;9619
2008-10-21;9619
2008-10-22;9618
2008-10-23;9616
2008-10-24;9615
2008-10-25;9615
2008-10-26;9620
2008-10-27;9621
2008-10-28;9619
2008-10-29;9619
2008-10-30;9617
2008-10-31;9617
2008-11-01;9616
2008-11-02;9617
2008-11-03;9614
2008-11-04;9612
2008-11-05;9607
2008-11-06;9606
2008-11-07;9605
2008-11-08;9601
2008-11-09;9599
2008-11-10;9596
2008-11-11;9594
2008-11-12;9591
2008-11-13;9588
2008-11-14;9586
2008-11-15;9584
2008-11-16;9582
2008-11-17;9580
2008-11-18;9579
2008-11-19;9577
2008-11-20;9574
2008-11-21;9572
2008-11-22;9571
