Timestamp;Value
2001-01-01;332
2008-01-01;9410
2008-01-02;9406
2008-01-03;9405
2008-01-04;9400
2008-01-05;9399
2008-01-06;9395
2008-01-07;9394
2008-01-08;9390
2008-01-09;9386
2008-01-10;9383
2008-01-11;9379
2008-01-12;9376
2008-01-13;9373
2008-01-14;9370
2008-01-15;9366
2008-01-16;9363
2008-01-17;9358
2008-01-18;9355
2008-01-19;9352
2008-01-20;9349
2008-01-21;9346
2008-01-22;9343
2008-01-23;9340
2008-01-24;9339
2008-01-25;9336
2008-01-26;9332
2008-01-27;9329
2008-01-28;9326
2008-01-29;9323
2008-01-30;9321
2008-01-31;9319
2008-02-01;9317
2008-02-02;9313
2008-02-03;9311
2008-02-04;9308
2008-02-05;9306
2008-02-06;9302
2008-02-07;9298
2008-02-08;9296
2008-02-09;9292
2008-02-10;9290
2008-02-11;9288
2008-02-12;9284
2008-02-13;9281
2008-02-14;9277
2008-02-15;9274
2008-02-16;9270
2008-02-17;9266
2008-02-18;9264
2008-02-19;9261
2008-02-20;9257
2008-02-21;9254
2008-02-22;9252
2008-02-23;9250
2008-02-24;9247
2008-02-25;9244
2008-02-26;9241
2008-02-27;9238
2008-02-28;9235
2008-02-29;9232
2008-03-01;9231
2008-03-02;9228
2008-03-03;9225
2008-03-04;9221
2008-03-05;9217
2008-03-06;9213
2008-03-07;9209
2008-03-08;9207
2008-03-09;9203
2008-03-10;9201
2008-03-11;9197
2008-03-12;9195
2008-03-13;9192
2008-03-14;9189
2008-03-15;9187
2008-03-16;9183
2008-03-17;9181
2008-03-18;9178
2008-03-19;9173
2008-03-20;9171
2008-03-21;9167
2008-03-22;9164
2008-03-23;9161
2008-03-24;9158
2008-03-25;9154
2008-03-26;9151
2008-03-27;9149
2008-03-28;9144
2008-03-29;9140
2008-03-30;9137
2008-03-31;9133
2008-04-01;9129
2008-04-02;9126
2008-04-03;9123
2008-04-04;9116
2008-04-05;9114
2008-04-06;9108
2008-04-07;9106
2008-04-08;9103
2008-04-09;9099
2008-04-10;9095
2008-04-11;9092
2008-04-12;9089
2008-04-13;9085
2008-04-14;9085
2008-04-15;9083
2008-04-16;9077
2008-04-17;9075
2008-04-18;9069
2008-04-19;9066
2008-04-20;9064
2008-04-21;9061
2008-04-22;9059
2008-04-23;9058
2008-04-24;9059
2008-04-25;9057
2008-04-26;9055
2008-04-27;9054
2008-04-28;9051
2008-04-29;9050
2008-04-30;9048
2008-05-01;9046
2008-05-02;9044
2008-05-03;9044
2008-05-04;9043
2008-05-05;9043
2008-05-06;9044
2008-05-07;9046
2008-05-08;9048
2008-05-09;9051
2008-05-10;9055
2008-05-11;9057
2008-05-12;9058
2008-05-13;9058
2008-05-14;9062
2008-05-15;9066
2008-05-16;9068
2008-05-17;9070
2008-05-18;9075
2008-05-19;9077
2008-05-20;9079
2008-05-21;9082
2008-05-22;9084
2008-05-23;9083
2008-05-24;9083
2008-05-25;9082
2008-05-26;9082
2008-05-27;9081
2008-05-28;9081
2008-05-29;9077
2008-05-30;9075
2008-05-31;9074
2008-06-01;9073
2008-06-02;9073
2008-06-03;9072
2008-06-04;9071
2008-06-05;9069
2008-06-06;9069
2008-06-07;9068
2008-06-08;9068
2008-06-09;9068
2008-06-10;9067
2008-06-11;9067
2008-06-12;9065
2008-06-13;9066
2008-06-14;9064
2008-06-15;9062
2008-06-16;9058
2008-06-17;9057
2008-06-18;9054
2008-06-19;9054
2008-06-20;9054
2008-06-21;9050
2008-06-22;9049
2008-06-23;9049
2008-06-24;9046
2008-06-25;9044
2008-06-26;9043
2008-06-27;9041
2008-06-28;9040
2008-06-29;9038
2008-06-30;9037
2008-07-01;9035
2008-07-02;9035
2008-07-03;9035
2008-07-04;9036
2008-07-05;9037
2008-07-06;9043
2008-07-07;9045
2008-07-08;9062
2008-07-09;9074
2008-07-10;9080
2008-07-11;9087
2008-07-12;9090
2008-07-13;9097
2008-07-14;9105
2008-07-15;9110
2008-07-16;9119
2008-07-17;9126
2008-07-18;9131
2008-07-19;9134
2008-07-20;9138
2008-07-21;9142
2008-07-22;9142
2008-07-23;9144
2008-07-24;9144
2008-07-25;9146
2008-07-26;9148
2008-07-27;9149
2008-07-28;9150
2008-07-29;9151
2008-07-30;9157
2008-07-31;9167
2008-08-01;9177
2008-08-02;9189
2008-08-03;9197
2008-08-04;9211
2008-08-05;9221
2008-08-06;9235
2008-08-07;9255
2008-08-08;9269
2008-08-09;9279
2008-08-10;9285
2008-08-11;9291
2008-08-12;9300
2008-08-13;9308
2008-08-14;9313
2008-08-15;9317
2008-08-16;9321
2008-08-17;9326
2008-08-18;9329
2008-08-19;9334
2008-08-20;9335
2008-08-21;9342
2008-08-22;9344
2008-08-23;9345
2008-08-24;9347
2008-08-25;9349
2008-08-26;9350
2008-08-27;9353
2008-08-28;9356
2008-08-29;9357
2008-08-30;9358
2008-08-31;9359
2008-09-01;9361
2008-09-02;9366
2008-09-03;9377
2008-09-04;9378
2008-09-05;9385
2008-09-06;9392
2008-09-07;9393
2008-09-08;9415
2008-09-09;9438
2008-09-10;9454
2008-09-11;9463
2008-09-12;9470
2008-09-13;9474
2008-09-14;9479
2008-09-15;9485
2008-09-16;9498
2008-09-17;9524
2008-09-18;9547
2008-09-19;9551
2008-09-20;9566
2008-09-21;9584
2008-09-22;9591
2008-09-23;9600
2008-09-24;9605
2008-09-25;9608
2008-09-26;9612
2008-09-27;9613
2008-09-28;9615
2008-09-29;9616
2008-09-30;9618
2008-10-01;9620
2008-10-02;9621
2008-10-03;9621
2008-10-04;9621
2008-10-05;9622
2008-10-06;9623
2008-10-07;9622
2008-10-08;9622
2008-10-09;9622
2008-10-10;9623
2008-10-11;9624
2008-10-12;9623
2008-10-13;9623
2008-10-14;9623
