Timestamp;Value
2015-01-01;445
2015-01-02;441
2015-01-03;432
2015-01-04;422
2015-01-05;422
2015-01-06;425
2015-01-07;425
2015-01-08;425
2015-01-09;410
2015-01-10;405
2015-01-11;379
2015-01-12;374
2015-01-13;374
2015-01-14;379
2015-01-15;379
2015-01-16;369
2015-01-17;374
2015-01-18;374
2015-01-19;374
2015-01-20;374
2015-01-21;359
2015-01-22;359
2015-01-23;364
2015-01-24;369
2015-01-25;369
2015-01-26;356
2015-01-27;349
2015-01-28;349
2015-01-29;354
2015-01-30;349
2015-01-31;349
2015-02-01;349
2015-02-02;354
2015-02-03;349
2015-02-04;344
2015-02-05;344
2015-02-06;349
2015-02-07;349
2015-02-08;349
2015-02-09;349
2015-02-10;349
2015-02-11;331
2015-02-12;336
2015-02-13;339
2015-02-14;336
2015-02-15;331
2015-02-16;332
2015-02-17;331
2015-02-18;329
2015-02-19;330
2015-02-20;331
2015-02-21;331
2015-02-22;336
2015-02-23;336
2015-02-24;341
2015-02-25;341
2015-02-26;340
2015-02-27;339
2015-02-28;337
2015-03-01;335
2015-03-02;335
2015-03-03;339
2015-03-04;341
2015-03-05;340
2015-03-06;341
2015-03-07;344
2015-03-08;345
2015-03-09;345
2015-03-10;343
2015-03-11;327
2015-03-12;311
2015-03-13;298
2015-03-14;293
2015-03-15;283
2015-03-16;278
2015-03-17;289
2015-03-18;289
2015-03-19;287
2015-03-20;287
2015-03-21;282
2015-03-22;278
2015-03-23;284
2015-03-24;287
2015-03-25;287
2015-03-26;298
2015-03-27;287
2015-03-28;285
2015-03-29;289
2015-03-30;295
2015-03-31;291
2015-04-01;295
2015-04-02;296
2015-04-03;293
2015-04-04;293
2015-04-05;293
2015-04-06;292
2015-04-07;292
2015-04-08;294
2015-04-09;289
2015-04-10;286
2015-04-11;295
2015-04-12;302
2015-04-13;299
2015-04-14;296
2015-04-15;300
2015-04-16;272
2015-04-17;223
2015-04-18;181
2015-04-19;157
2015-04-20;209
2015-04-21;232
2015-04-22;225
2015-04-23;222
2015-04-24;234
2015-04-25;227
2015-04-26;193
2015-04-27;196
2015-04-28;196
2015-04-29;226
2015-04-30;262
2015-05-01;305
2015-05-02;313
2015-05-03;340
2015-05-04;336
2015-05-05;316
2015-05-06;330
2015-05-07;319
2015-05-08;313
2015-05-09;306
2015-05-10;305
2015-05-11;300
2015-05-12;295
2015-05-13;291
2015-05-14;299
2015-05-15;301
2015-05-16;299
2015-05-17;296
2015-05-18;294
2015-05-19;290
2015-05-20;282
2015-05-21;288
2015-05-22;280
2015-05-23;280
2015-05-24;285
2015-05-25;289
2015-05-26;287
2015-05-27;282
2015-05-28;275
2015-05-29;272
2015-05-30;269
2015-05-31;269
2015-06-01;267
2015-06-02;271
2015-06-03;279
2015-06-04;277
2015-06-05;275
2015-06-06;268
2015-06-07;277
2015-06-08;296
2015-06-09;328
2015-06-10;332
2015-06-11;303
2015-06-12;291
2015-06-13;289
2015-06-14;273
2015-06-15;265
2015-06-16;261
2015-06-17;260
2015-06-18;255
2015-06-19;259
2015-06-20;270
2015-06-21;275
2015-06-22;268
2015-06-23;264
2015-06-24;261
2015-06-25;265
2015-06-26;269
2015-06-27;247
2015-06-28;246
2015-06-29;248
2015-06-30;255
2015-07-01;257
2015-07-02;257
2015-07-03;260
2015-07-04;258
2015-07-05;258
2015-07-06;262
2015-07-07;261
2015-07-08;252
2015-07-09;246
2015-07-10;243
2015-07-11;242
2015-07-12;235
2015-07-13;235
2015-07-14;235
2015-07-15;231
2015-07-16;239
2015-07-17;234
2015-07-18;240
2015-07-19;238
2015-07-20;243
2015-07-21;249
2015-07-22;249
2015-07-23;243
2015-07-24;237
2015-07-25;233
2015-07-26;232
2015-07-27;239
2015-07-28;248
2015-07-29;253
2015-07-30;276
2015-07-31;287
2015-08-01;276
2015-08-02;268
2015-08-03;270
2015-08-04;278
2015-08-05;277
2015-08-06;277
2015-08-07;287
2015-08-08;303
2015-08-09;299
2015-08-10;290
2015-08-11;280
2015-08-12;273
2015-08-13;269
2015-08-14;262
2015-08-15;262
2015-08-16;262
2015-08-17;260
2015-08-18;283
2015-08-19;305
2015-08-20;295
2015-08-21;288
2015-08-22;288
2015-08-23;298
2015-08-24;307
2015-08-25;304
2015-08-26;301
2015-08-27;299
2015-08-28;282
2015-08-29;278
2015-08-30;274
2015-08-31;270
2015-09-01;268
2015-09-02;267
2015-09-03;267
2015-09-04;262
2015-09-05;261
2015-09-06;259
2015-09-07;258
2015-09-08;256
2015-09-09;256
2015-09-10;258
2015-09-11;261
2015-09-12;257
2015-09-13;257
2015-09-14;260
2015-09-15;259
2015-09-16;260
2015-09-17;262
2015-09-18;261
2015-09-19;255
2015-09-20;263
2015-09-21;264
2015-09-22;263
2015-09-23;261
2015-09-24;246
2015-09-25;252
2015-09-26;257
2015-09-27;254
2015-09-28;250
2015-09-29;249
2015-09-30;252
2015-10-01;253
2015-10-02;254
2015-10-03;255
2015-10-04;254
2015-10-05;255
