Timestamp;Value
2001-01-11;382
2001-02-11;376
2001-03-11;328
2001-03-12;316
2001-04-11;322
2001-04-12;329
2001-05-11;381
2001-05-12;315
2001-06-11;370
2001-06-12;320
2001-07-11;341
2001-07-12;313
2001-08-11;373
2001-10-12;371
2001-10-20;367
2001-10-21;340
2001-10-22;376
2001-10-23;379
2001-10-24;386
2001-10-25;378
2001-10-26;384
2001-10-27;340
2001-10-28;327
2001-10-29;381
2001-10-30;367
2001-10-31;386
2001-11-01;382
2001-11-02;376
2001-11-03;328
2001-11-04;322
2001-11-05;381
2001-11-06;370
2001-11-07;341
2001-11-08;373
2001-11-12;327
2001-11-13;319
2001-11-14;330
2001-11-15;340
2001-11-16;341
2001-11-19;305
2001-11-20;322
2001-11-21;275
2001-11-26;313
2001-11-27;317
2001-11-28;321
2001-11-29;333
2001-11-30;313
2001-12-03;316
2001-12-04;329
2001-12-05;315
2001-12-06;320
2001-12-07;313
2001-12-10;371
2001-12-11;322
2001-12-12;290
2001-12-13;290
2001-12-14;327
2001-12-17;329
2001-12-18;331
2001-12-19;359
2001-12-20;329
2001-12-21;333
2001-12-24;321
2001-12-25;319
2001-12-26;317
2001-12-27;381
2002-01-03;363
2002-01-04;364
2002-01-08;343
2002-01-09;369
2002-01-10;336
2002-01-11;320
2002-01-14;317
2002-01-15;326
2002-01-16;323
2002-01-17;331
2002-01-18;320
2002-01-21;329
2002-01-22;333
2002-01-23;327
2002-01-24;329
2002-01-25;335
2002-01-28;360
2002-01-29;328
2002-01-30;361
2002-01-31;366
2002-02-01;349
2002-02-04;381
2002-02-05;376
2002-02-06;367
2002-02-07;378
2002-02-08;384
2002-02-11;376
2002-02-12;370
2002-02-13;368
2002-02-14;374
2002-02-15;367
2002-02-18;373
2002-02-19;378
2002-02-20;353
2002-02-21;360
2002-02-22;365
2002-03-01;345
2002-03-04;344
2002-03-05;339
2002-03-06;330
2002-03-07;361
2002-03-11;330
2002-03-12;322
2002-03-13;341
2002-03-14;327
2002-03-15;314
2002-03-18;322
2002-03-19;314
2002-03-20;342
2002-03-21;342
2002-03-22;334
2002-03-25;339
2002-03-26;329
2002-03-27;339
2002-03-28;333
2002-04-01;353
2002-04-02;337
2002-04-03;334
2002-04-04;328
2002-04-05;337
2002-04-08;376
2002-04-09;337
2002-04-10;362
2002-04-11;370
2002-04-12;365
2002-04-15;329
2002-04-16;329
2002-04-17;337
2002-04-18;359
2002-04-19;329
2002-04-22;362
2002-04-23;347
2002-04-24;329
2002-04-25;338
2002-04-26;327
2002-04-27;288
2002-04-28;321
2002-04-29;343
2002-04-30;378
2002-05-01;322
2002-05-02;323
2002-05-03;298
2002-05-04;321
2002-05-05;293
2002-05-06;346
2002-05-07;343
2002-05-08;334
2002-05-09;335
2002-05-10;337
2002-05-11;322
2002-05-12;339
2002-05-13;371
2002-05-14;368
2002-05-15;367
2002-05-16;366
2002-05-17;371
2002-05-18;361
2002-05-19;336
2002-05-20;375
2002-05-21;374
2002-05-22;378
2002-05-23;373
2002-05-24;392
2002-05-25;366
2002-05-26;294
2002-05-27;364
2002-05-28;396
2002-05-29;390
2002-05-30;415
2002-05-31;444
2002-06-01;348
2002-06-02;280
2002-06-03;361
2002-06-04;375
2002-06-05;351
2002-06-06;368
2002-06-07;348
2002-06-08;329
2002-06-09;312
2002-06-10;414
2002-06-11;420
2002-06-12;383
2002-06-13;356
2002-06-14;389
2002-06-15;293
2002-06-16;276
2002-06-17;378
2002-06-18;372
2002-06-19;422
2002-06-20;443
2002-06-21;422
2002-06-22;434
2002-06-23;325
2002-06-24;388
2002-06-25;396
2002-06-26;401
2002-06-27;402
2002-06-28;285
2002-06-29;352
2002-06-30;288
2002-07-01;368
2002-07-02;374
2002-07-03;357
2002-07-04;414
2002-07-05;356
2002-07-06;287
2002-07-07;321
2002-07-08;353
2002-07-09;403
2002-07-10;379
2002-07-11;387
2002-07-12;418
2002-07-16;356
2002-07-17;357
2002-07-23;342
2002-07-24;353
2002-07-25;318
2002-07-26;397
2002-07-29;348
2002-07-30;376
2002-07-31;365
2002-08-01;317
2002-08-02;378
2002-08-03;384
2002-08-04;279
2002-08-05;390
2002-08-06;386
2002-08-07;376
2002-08-08;388
2002-08-09;339
2002-08-10;329
2002-08-11;320
2002-08-12;378
2002-08-13;332
2002-08-14;351
2002-08-15;317
2002-08-16;381
2002-08-17;336
2002-08-18;329
2002-08-19;342
2002-08-20;371
2002-08-21;337
2002-08-22;381
2002-08-23;376
2002-08-24;349
2002-08-25;323
2002-08-26;342
2002-08-27;404
2002-08-28;347
2002-08-29;348
2002-08-30;334
2002-08-31;312
2002-09-01;278
2002-09-02;378
2002-09-03;343
2002-09-04;337
2002-09-05;246
2002-09-06;331
2002-09-07;334
2002-09-08;329
2002-09-09;334
2002-09-10;341
2002-09-11;348
2002-09-12;338
2002-09-13;329
2002-09-14;317
2002-09-15;322
2002-09-16;348
2002-09-17;364
2002-09-18;344
2002-09-19;342
2002-09-20;371
2002-09-21;339
2002-09-22;331
2002-09-23;394
2002-09-24;353
2002-09-25;345
2002-09-26;381
2002-09-27;376
2002-09-28;322
2002-09-29;329
2002-09-30;369
2002-10-01;380
2002-10-02;371
2002-10-03;349
2002-10-04;383
2002-10-05;344
2002-10-06;324
2002-10-07;395
2002-10-08;384
2002-10-09;372
2002-10-10;375
