Timestamp;Value
2008-01-01;148
2008-01-02;151
2008-01-03;157
2008-01-04;163
2008-01-05;168
2008-01-06;166
2008-01-07;161
2008-01-08;150
2008-01-09;139
2008-01-10;140
2008-01-11;144
2008-01-12;147
2008-01-13;149
2008-01-14;148
2008-01-15;151
2008-01-16;158
2008-01-17;155
2008-01-18;155
2008-01-19;157
2008-01-20;155
2008-01-21;149
2008-01-22;144
2008-01-23;140
2008-01-24;136
2008-01-25;133
2008-01-26;129
2008-01-27;126
2008-01-28;125
2008-01-29;124
2008-01-30;126
2008-01-31;128
2008-02-01;126
2008-02-02;123
2008-02-03;118
2008-02-04;113
2008-02-05;112
2008-02-06;114
2008-02-07;117
2008-02-08;115
2008-02-09;118
2008-02-10;121
2008-02-11;126
2008-02-12;130
2008-02-13;132
2008-02-14;132
2008-02-15;131
2008-02-16;129
2008-02-17;127
2008-02-18;126
2008-02-19;125
2008-02-20;122
2008-02-21;119
2008-02-22;116
2008-02-23;115
2008-02-24;114
2008-02-25;117
2008-02-26;121
2008-02-27;125
2008-02-28;126
2008-02-29;124
2008-03-01;124
2008-03-02;125
2008-03-03;126
2008-03-04;127
2008-03-05;126
2008-03-06;125
2008-03-07;124
2008-03-08;118
2008-03-09;113
2008-03-10;108
2008-03-11;107
2008-03-12;107
2008-03-13;108
2008-03-14;110
2008-03-15;113
2008-03-16;116
2008-03-17;115
2008-03-18;114
2008-03-19;117
2008-03-20;123
2008-03-21;125
2008-03-22;123
2008-03-23;117
2008-03-24;116
2008-03-25;117
2008-03-26;120
2008-03-27;123
2008-03-28;127
2008-03-29;129
2008-03-30;132
2008-03-31;138
2008-04-01;144
2008-04-02;143
2008-04-03;142
2008-04-04;138
2008-04-05;129
2008-04-06;122
2008-04-07;121
2008-04-08;123
2008-04-09;129
2008-04-10;134
2008-04-11;138
2008-04-12;136
2008-04-13;134
2008-04-14;133
2008-04-15;133
2008-04-16;142
2008-04-17;146
2008-04-18;144
2008-04-19;138
2008-04-20;136
2008-04-21;91
2008-04-22;70
2008-04-23;74
2008-04-24;50
2008-04-25;31
2008-04-26;7
2008-04-27;-14
2008-04-28;-18
2008-04-29;-11
2008-04-30;-6
2008-05-01;-9
2008-05-02;-2
2008-05-03;14
2008-05-04;20
2008-05-05;22
2008-05-06;24
2008-05-07;28
2008-05-08;42
2008-05-09;54
2008-05-10;69
2008-05-11;84
2008-05-12;93
2008-05-13;95
2008-05-14;87
2008-05-15;78
2008-05-16;73
2008-05-17;73
2008-05-18;78
2008-05-19;79
2008-05-20;87
2008-05-21;92
2008-05-22;93
2008-05-23;96
2008-05-24;102
2008-05-25;100
2008-05-26;88
2008-05-27;78
2008-05-28;70
2008-05-29;61
2008-05-30;56
2008-05-31;54
2008-06-01;56
2008-06-02;59
2008-06-03;62
2008-06-04;58
2008-06-05;61
2008-06-06;86
2008-06-07;109
2008-06-08;109
2008-06-09;96
2008-06-10;81
2008-06-11;70
2008-06-12;65
2008-06-13;66
2008-06-14;68
2008-06-15;70
2008-06-16;71
2008-06-17;67
2008-06-18;57
2008-06-19;49
2008-06-20;44
2008-06-21;35
2008-06-22;24
2008-06-23;13
2008-06-25;-6
2008-06-26;-1
2008-06-27;3
2008-06-28;-6
2008-06-29;-11
2008-06-30;-8
2008-07-01;-7
2008-07-02;-11
2008-07-03;-9
2008-07-04;-6
2008-07-05;-4
2008-07-06;-6
2008-07-07;-9
2008-07-08;-8
2008-07-09;-3
2008-07-10;6
2008-07-11;38
2008-07-12;168
2008-07-13;260
2008-07-14;284
2008-07-15;263
2008-07-16;229
2008-07-17;196
2008-07-18;174
2008-07-19;168
2008-07-20;162
2008-07-21;154
2008-07-22;143
2008-07-23;135
2008-07-24;121
2008-07-25;110
2008-07-26;98
2008-07-27;102
2008-07-28;113
2008-07-29;123
2008-07-30;129
2008-07-31;135
2008-08-01;134
2008-08-02;132
2008-08-03;145
2008-08-04;188
2008-08-05;209
2008-08-06;190
2008-08-07;185
2008-08-08;186
2008-08-09;184
2008-08-10;184
2008-08-11;180
2008-08-12;172
2008-08-13;163
2008-08-14;153
2008-08-15;147
2008-08-16;155
2008-08-17;151
2008-08-18;141
2008-08-19;130
2008-08-20;123
2008-08-21;122
2008-08-22;117
2008-08-23;109
2008-08-24;102
2008-08-25;94
2008-08-26;82
2008-08-27;72
2008-08-28;64
2008-08-29;70
2008-08-30;87
2008-08-31;110
2008-09-01;105
2008-09-02;95
2008-09-03;96
2008-09-04;108
2008-09-05;120
2008-09-06;169
2008-09-07;203
2008-09-08;196
2008-09-09;186
2008-09-10;184
2008-09-11;190
2008-09-12;207
2008-09-13;211
2008-09-14;198
2008-09-15;187
2008-09-16;182
2008-09-17;182
2008-09-18;187
2008-09-19;186
2008-09-20;189
2008-09-21;210
2008-09-22;246
2008-09-23;257
2008-09-24;249
2008-09-25;237
2008-09-26;226
2008-09-27;222
2008-09-28;226
2008-09-29;228
2008-09-30;224
2008-10-01;215
2008-10-02;203
2008-10-03;191
2008-10-04;178
2008-10-05;166
2008-10-06;155
2008-10-07;146
2008-10-08;139
2008-10-09;132
2008-10-10;123
2008-10-11;123
2008-10-12;123
2008-10-13;121
2008-10-14;118
2008-10-15;113
2008-10-16;110
2008-10-17;104
2008-10-18;93
2008-10-19;83
2008-10-20;76
2008-10-21;71
2008-10-22;75
2008-10-23;79
2008-10-24;79
2008-10-25;78
2008-10-26;79
2008-10-27;79
2008-10-28;76
2008-10-29;77
2008-10-30;92
2008-10-31;109
2008-11-01;111
2008-11-02;105
2008-11-03;84
2008-11-04;70
2008-11-05;57
2008-11-06;58
2008-11-07;65
2008-11-08;58
2008-11-09;42
2008-11-10;36
2008-11-11;35
2008-11-12;27
2008-11-13;14
2008-11-14;10
2008-11-15;16
2008-11-16;14
2008-11-17;2
2008-11-18;-6
2008-11-19;-11
2008-11-20;-28
2008-11-21;-51
2008-11-22;-58
2008-11-23;-40
2008-11-24;-40
2008-11-25;-28
2008-11-26;-20
2008-11-27;-13
2008-11-28;-3
2008-11-29;14
2008-11-30;24
2008-12-01;25
2008-12-02;26
2008-12-03;28
2008-12-04;30
2008-12-05;74
2008-12-06;151
2008-12-07;158
2008-12-08;165
2008-12-09;170
2008-12-10;169
2008-12-11;160
2008-12-12;156
2008-12-13;158
2008-12-14;159
2008-12-15;159
2008-12-16;163
2008-12-17;166
2008-12-18;165
2008-12-19;164
2008-12-20;163
2008-12-21;161
2008-12-22;159
2008-12-23;159
2008-12-24;158
2008-12-25;156
2008-12-26;155
2008-12-27;152
2008-12-28;148
2008-12-29;146
2008-12-30;147
2008-12-31;143
2009-01-01;148
2009-01-02;140
2009-01-03;130
2009-01-04;128
2009-01-05;116
2009-01-06;120
2009-01-07;116
2009-01-08;113
2009-01-09;106
2009-01-10;98
2009-01-11;99
2009-01-12;100
2009-01-13;101
2009-01-14;99
2009-01-15;96
2009-01-16;97
2009-01-17;99
2009-01-18;99
2009-01-19;82
2009-01-20;74
2009-01-21;72
2009-01-22;71
2009-01-23;70
2009-01-24;68
2009-01-25;64
2009-01-26;65
2009-01-27;67
2009-01-28;72
2009-01-29;75
2009-01-30;77
2009-01-31;78
2009-02-01;80
2009-02-02;82
2009-02-03;83
2009-02-04;83
2009-02-05;81
2009-02-06;77
2009-02-07;74
2009-02-08;75
2009-02-09;74
2009-02-10;75
2009-02-11;76
2009-02-12;76
2009-02-13;70
2009-02-14;69
2009-02-15;69
2009-02-16;70
2009-02-17;71
2009-02-18;73
2009-02-19;72
2009-02-20;71
2009-02-21;72
2009-02-22;71
2009-02-23;77
2009-02-24;82
2009-02-25;78
2009-02-26;84
2009-02-27;82
2009-02-28;81
2009-03-01;80
2009-03-02;79
2009-03-03;82
2009-03-04;85
2009-03-05;83
2009-03-06;79
2009-03-07;76
2009-03-08;80
2009-03-09;84
2009-03-10;86
2009-03-11;87
2009-03-12;90
2009-03-13;91
2009-03-14;91
2009-03-15;90
2009-03-16;92
2009-03-17;95
2009-03-18;96
2009-03-19;95
2009-03-20;96
2009-03-21;98
2009-03-22;96
2009-03-23;95
2009-03-24;93
2009-03-25;92
2009-03-26;95
2009-03-27;98
2009-03-28;100
2009-03-29;99
2009-03-30;96
2009-03-31;94
2009-04-01;91
2009-04-02;92
2009-04-03;95
2009-04-04;98
2009-04-05;97
2009-04-06;93
2009-04-07;85
2009-04-08;75
2009-04-09;65
2009-04-10;58
2009-04-11;58
2009-04-12;62
2009-04-13;67
2009-04-14;73
2009-04-15;79
2009-04-16;86
2009-04-17;102
2009-04-18;125
2009-04-19;141
2009-04-20;151
2009-04-21;187
2009-04-22;205
2009-04-23;243
2009-04-24;238
2009-04-25;273
2009-04-26;254
2009-04-27;237
2009-04-28;231
2009-04-29;259
2009-04-30;288
2009-05-01;278
2009-05-02;258
2009-05-03;259
2009-05-04;266
2009-05-05;276
2009-05-06;290
2009-05-07;314
2009-05-08;332
2009-05-09;331
2009-05-10;312
2009-05-11;291
2009-05-12;281
2009-05-13;267
2009-05-14;246
2009-05-15;222
2009-05-16;202
2009-05-17;183
2009-05-18;191
2009-05-19;174
2009-05-20;159
2009-05-21;151
2009-05-22;177
2009-05-23;211
2009-05-24;227
2009-05-25;220
2009-05-26;218
2009-05-27;218
2009-05-28;208
2009-05-29;190
2009-05-30;170
2009-05-31;164
2009-06-01;162
2009-06-02;151
2009-06-03;144
2009-06-04;143
2009-06-05;154
2009-06-06;165
2009-06-07;156
2009-06-08;161
2009-06-09;171
2009-06-10;176
2009-06-11;177
2009-06-12;178
2009-06-13;181
2009-06-14;191
2009-06-15;212
2009-06-16;220
2009-06-17;229
2009-06-18;234
2009-06-19;224
2009-06-20;218
2009-06-21;197
2009-06-22;185
2009-06-23;180
2009-06-24;194
2009-06-25;226
2009-06-26;253
2009-06-27;261
2009-06-28;268
2009-06-29;271
2009-06-30;263
2009-07-01;246
2009-07-02;230
2009-07-03;212
2009-07-04;200
2009-07-05;184
2009-07-06;175
2009-07-07;167
2009-07-08;163
2009-07-09;158
2009-07-10;157
2009-07-11;169
2009-07-12;224
2009-07-13;303
2009-07-14;342
2009-07-15;356
2009-07-16;339
2009-07-17;318
2009-07-18;308
2009-07-19;309
2009-07-20;321
2009-07-21;335
2009-07-22;347
2009-07-23;347
2009-07-24;332
2009-07-25;309
2009-07-26;295
2009-07-27;269
2009-07-28;247
2009-07-29;227
2009-07-30;207
2009-07-31;193
2009-08-01;185
2009-08-02;181
2009-08-03;177
2009-08-04;175
2009-08-05;174
2009-08-06;177
2009-08-07;210
2009-08-08;255
2009-08-09;264
2009-08-10;257
2009-08-11;250
2009-08-12;234
2009-08-13;227
2009-08-14;224
2009-08-15;234
2009-08-16;256
2009-08-17;296
2009-08-18;310
2009-08-19;294
2009-08-20;280
2009-08-21;259
2009-08-22;250
2009-08-23;247
2009-08-24;254
2009-08-25;278
2009-08-26;298
2009-08-27;309
2009-08-28;320
2009-08-29;331
2009-08-30;341
2009-08-31;359
2009-09-01;387
2009-09-02;393
2009-09-03;375
2009-09-04;356
2009-09-05;326
2009-09-06;313
2009-09-07;305
2009-09-08;316
2009-09-09;339
2009-09-10;350
2009-09-11;368
2009-09-12;395
2009-09-13;410
2009-09-14;415
2009-09-15;402
2009-09-16;373
2009-09-17;331
2009-09-18;299
2009-09-19;281
2009-09-20;268
2009-09-21;263
2009-09-22;258
2009-09-23;248
2009-09-24;239
2009-09-25;230
2009-09-26;240
2009-09-27;273
2009-09-28;302
2009-09-29;330
2009-09-30;346
2009-10-01;340
2009-10-02;325
2009-10-03;317
2009-10-04;298
2009-10-05;276
2009-10-06;271
2009-10-07;269
2009-10-08;268
2009-10-09;266
2009-10-10;259
2009-10-11;251
2009-10-12;245
2009-10-13;229
2009-10-14;219
2009-10-15;209
2009-10-16;199
2009-10-17;193
2009-10-18;182
2009-10-19;174
2009-10-20;167
2009-10-21;156
2009-10-22;147
2009-10-23;142
2009-10-24;140
2009-10-25;137
2009-10-26;131
2009-10-27;124
2009-10-28;120
2009-10-29;115
2009-10-30;101
2009-10-31;93
2009-11-01;81
2009-11-02;61
2009-11-03;62
2009-11-04;68
2009-11-05;66
2009-11-06;62
2009-11-07;50
2009-11-08;30
2009-11-09;13
2009-11-10;7
2009-11-11;5
2009-11-12;3
2009-11-13;-11
2009-11-14;-24
2009-11-15;-22
2009-11-16;-12
2009-11-17;-3
2009-11-18;13
2009-11-19;23
2009-11-20;30
2009-11-21;39
2009-11-22;41
2009-11-23;36
2009-11-24;33
2009-11-25;34
2009-11-26;35
2009-11-27;34
2009-11-28;87
2009-11-29;160
2009-11-30;169
2009-12-01;172
2009-12-02;173
2009-12-03;174
2009-12-04;175
2009-12-05;185
2009-12-06;199
2009-12-07;213
2009-12-08;215
2009-12-09;217
2009-12-10;218
2009-12-11;220
2009-12-12;221
2009-12-13;218
2009-12-14;214
2009-12-15;215
2009-12-16;211
2009-12-17;206
2009-12-18;199
2009-12-19;191
2009-12-20;185
2009-12-21;183
2009-12-22;181
2009-12-23;182
2009-12-24;182
2009-12-25;183
2009-12-26;193
2009-12-27;201
2009-12-28;203
2009-12-29;201
2009-12-30;199
2009-12-31;198
2010-01-01;199
2010-01-02;200
2010-01-03;198
2010-01-04;196
2010-01-05;193
2010-01-06;187
2010-01-07;181
2010-01-08;179
2010-01-09;177
2010-01-10;177
2010-01-11;175
2010-01-12;174
2010-01-13;171
2010-01-14;169
2010-01-15;167
2010-01-16;165
2010-01-17;162
2010-01-18;165
2010-01-19;169
2010-01-20;172
2010-01-21;167
2010-01-22;158
2010-01-23;148
2010-01-24;144
2010-01-25;142
2010-01-26;136
2010-01-27;134
2010-01-28;133
2010-01-29;132
2010-01-30;123
2010-01-31;121
2010-02-01;120
2010-02-02;121
2010-02-03;119
2010-02-04;117
2010-02-05;111
2010-02-06;104
2010-02-07;104
2010-02-08;108
2010-02-09;114
2010-02-10;116
2010-02-11;110
2010-02-12;107
2010-02-13;103
2010-02-14;101
2010-02-15;100
2010-02-16;100
2010-02-17;99
2010-02-18;98
2010-02-19;95
2010-02-20;94
2010-02-21;93
2010-02-22;91
2010-02-23;88
2010-02-24;86
2010-02-25;86
2010-02-26;85
2010-02-27;84
2010-02-28;85
2010-03-01;83
2010-03-02;83
2010-03-03;82
2010-03-04;82
2010-03-05;80
2010-03-06;79
2010-03-07;82
2010-03-08;82
2010-03-09;83
2010-03-10;83
2010-03-11;82
2010-03-12;81
2010-03-13;80
2010-03-14;81
2010-03-15;79
2010-03-16;75
2010-03-17;69
2010-03-18;67
2010-03-19;74
2010-03-20;80
2010-03-21;83
2010-03-22;86
2010-03-23;87
2010-03-24;89
2010-03-25;91
2010-03-26;91
2010-03-27;89
2010-03-28;90
2010-03-29;90
2010-03-30;92
2010-03-31;96
2010-04-01;98
2010-04-02;100
2010-04-03;101
2010-04-04;103
2010-04-05;103
2010-04-06;98
2010-04-07;82
2010-04-08;60
2010-04-09;43
2010-04-10;34
2010-04-11;29
2010-04-12;26
2010-04-13;23
2010-04-14;22
2010-04-15;24
2010-04-16;30
2010-04-17;47
