Timestamp;Value
2008-01-01;568
2008-01-02;561
2008-01-03;529
2008-01-04;475
2008-01-05;475
2008-01-06;496
2008-01-07;506
2008-01-08;506
2008-01-09;508
2008-01-10;486
2008-01-11;512
2008-01-12;512
2008-01-13;517
2008-01-14;517
2008-01-15;517
2008-01-16;515
2008-01-17;496
2008-01-18;491
2008-01-19;476
2008-01-20;466
2008-01-21;461
2008-01-22;441
2008-01-23;456
2008-01-24;446
2008-01-25;441
2008-01-26;451
2008-01-27;451
2008-01-28;452
2008-01-29;433
2008-01-30;421
2008-01-31;431
2008-02-01;421
2008-02-02;401
2008-02-03;416
2008-02-04;426
2008-02-05;435
2008-02-06;446
2008-02-07;456
2008-02-08;461
2008-02-09;461
2008-02-10;466
2008-02-11;468
2008-02-12;465
2008-02-13;463
2008-02-14;473
2008-02-15;489
2008-02-16;465
2008-02-17;457
2008-02-18;453
2008-02-19;445
2008-02-20;450
2008-02-21;452
2008-02-22;459
2008-02-23;473
2008-02-24;479
2008-02-25;472
2008-02-26;474
2008-02-27;478
2008-02-28;494
2008-02-29;489
2008-03-01;476
2008-03-02;473
2008-03-03;472
2008-03-04;456
2008-03-05;440
2008-03-06;445
2008-03-07;445
2008-03-08;446
2008-03-09;455
2008-03-10;459
2008-03-11;466
2008-03-12;470
2008-03-13;453
2008-03-14;460
2008-03-15;495
2008-03-16;493
2008-03-17;472
2008-03-18;462
2008-03-19;458
2008-03-20;471
2008-03-21;473
2008-03-22;478
2008-03-23;490
2008-03-24;494
2008-03-25;495
2008-03-26;516
2008-03-27;538
2008-03-28;539
2008-03-29;526
2008-03-30;534
2008-03-31;525
2008-04-01;509
2008-04-02;502
2008-04-03;505
2008-04-04;514
2008-04-05;545
2008-04-06;563
2008-04-07;549
2008-04-08;532
2008-04-09;476
2008-04-10;404
2008-04-11;366
2008-04-12;361
2008-04-13;353
2008-04-14;362
2008-04-15;372
2008-04-16;376
2008-04-17;382
2008-04-18;364
2008-04-19;358
2008-04-20;354
2008-04-21;354
2008-04-22;351
2008-04-23;323
2008-04-24;296
2008-04-25;291
2008-04-26;286
2008-04-27;286
2008-04-28;285
2008-04-29;305
2008-04-30;340
2008-05-01;353
2008-05-02;347
2008-05-03;343
2008-05-04;338
2008-05-05;348
2008-05-06;357
2008-05-07;371
2008-05-08;362
2008-05-09;377
2008-05-10;395
2008-05-11;388
2008-05-12;378
2008-05-13;377
2008-05-14;376
2008-05-15;371
2008-05-16;351
2008-05-17;357
2008-05-18;361
2008-05-19;355
2008-05-20;354
2008-05-21;363
2008-05-22;378
2008-05-23;371
2008-05-24;366
2008-05-25;355
2008-05-26;352
2008-05-27;347
2008-05-28;345
2008-05-29;335
2008-05-30;341
2008-05-31;352
2008-06-01;344
2008-06-02;341
2008-06-03;364
2008-06-04;400
2008-06-05;394
2008-06-06;375
2008-06-07;354
2008-06-08;351
2008-06-09;350
2008-06-10;347
2008-06-11;353
2008-06-12;362
2008-06-13;346
2008-06-14;334
2008-06-15;325
2008-06-16;326
2008-06-17;335
2008-06-18;335
2008-06-19;329
2008-06-20;310
2008-06-21;293
2008-06-22;284
2008-06-23;310
2008-06-24;327
2008-06-25;296
2008-06-26;284
2008-06-27;275
2008-06-28;272
2008-06-29;269
2008-06-30;252
2008-07-01;263
2008-07-02;267
2008-07-03;268
2008-07-04;258
2008-07-05;252
2008-07-06;260
2008-07-07;268
2008-07-08;280
2008-07-09;314
2008-07-10;345
2008-07-11;357
2008-07-12;370
2008-07-13;391
2008-07-14;406
2008-07-15;390
2008-07-16;414
2008-07-17;436
2008-07-18;422
2008-07-19;387
2008-07-20;347
2008-07-21;327
2008-07-22;312
2008-07-23;308
2008-07-24;327
2008-07-25;351
2008-07-26;351
2008-07-27;354
2008-07-28;371
2008-07-29;354
2008-07-30;359
2008-07-31;367
2008-08-01;378
2008-08-02;410
2008-08-03;399
2008-08-04;392
2008-08-05;400
2008-08-06;406
2008-08-07;402
2008-08-08;401
2008-08-09;391
2008-08-10;388
2008-08-11;372
2008-08-12;361
2008-08-13;364
2008-08-14;365
2008-08-15;353
2008-08-16;344
2008-08-17;339
2008-08-18;335
2008-08-19;329
2008-08-20;336
2008-08-21;350
2008-08-22;350
2008-08-23;342
2008-08-24;335
2008-08-25;335
2008-08-26;340
2008-08-27;370
2008-08-28;398
2008-08-29;399
2008-08-30;382
2008-08-31;382
2008-09-01;387
2008-09-02;394
2008-09-03;392
2008-09-04;437
2008-09-05;446
2008-09-06;417
2008-09-07;399
2008-09-08;392
2008-09-09;384
2008-09-10;394
2008-09-11;403
2008-09-12;402
2008-09-13;398
2008-09-14;395
2008-09-15;392
2008-09-16;393
2008-09-17;392
2008-09-18;407
2008-09-19;443
2008-09-20;459
2008-09-21;455
2008-09-22;442
2008-09-23;426
2008-09-24;418
2008-09-25;415
2008-09-26;413
2008-09-27;444
2008-09-28;454
2008-09-29;451
2008-09-30;436
2008-10-01;424
2008-10-02;403
2008-10-03;406
2008-10-04;390
2008-10-05;365
2008-10-06;362
2008-10-07;349
2008-10-08;365
2008-10-09;389
2008-10-10;389
2008-10-11;387
2008-10-12;378
2008-10-13;380
2008-10-14;384
2008-10-15;368
2008-10-16;344
2008-10-17;329
2008-10-18;331
2008-10-19;360
2008-10-20;378
2008-10-21;375
2008-10-22;369
2008-10-23;372
2008-10-24;372
2008-10-25;353
2008-10-26;319
2008-10-27;342
2008-10-28;376
2008-10-29;394
2008-10-30;378
2008-10-31;361
2008-11-01;332
2008-11-02;303
2008-11-03;348
2008-11-04;377
2008-11-05;377
2008-11-06;373
2008-11-07;374
2008-11-08;374
2008-11-09;368
2008-11-10;356
2008-11-11;360
2008-11-12;374
2008-11-13;366
2008-11-14;340
2008-11-15;343
2008-11-16;347
2008-11-17;358
2008-11-18;343
2008-11-19;334
2008-11-20;361
2008-11-21;372
2008-11-22;378
2008-11-23;383
2008-11-24;379
2008-11-25;387
2008-11-26;466
2008-11-27;562
2008-11-28;574
2008-11-29;577
2008-11-30;571
2008-12-01;604
2008-12-02;604
2008-12-03;586
2008-12-04;559
2008-12-05;559
2008-12-06;526
2008-12-07;514
2008-12-08;533
2008-12-09;528
2008-12-10;545
2008-12-11;559
2008-12-12;560
2008-12-13;559
2008-12-14;558
2008-12-15;556
2008-12-16;563
2008-12-17;567
2008-12-18;574
2008-12-19;572
2008-12-20;570
2008-12-21;572
2008-12-22;574
2008-12-23;572
2008-12-24;573
2008-12-25;570
2008-12-26;569
2008-12-27;565
2008-12-28;564
2008-12-29;559
2008-12-30;554
2008-12-31;552
2009-01-01;550
2009-01-02;547
2009-01-03;545
2009-01-04;540
2009-01-05;539
2009-01-06;536
2009-01-07;535
2009-01-08;526
2009-01-09;527
2009-01-10;530
2009-01-11;535
2009-01-12;540
