Date;Value
2008-01-01;341
2008-01-02;350
2008-01-03;361
2008-01-04;367
2008-01-05;364
2008-01-06;362
2008-01-07;352
2008-01-08;347
2008-01-09;345
2008-01-10;343
2008-01-11;347
2008-01-12;347
2008-01-13;349
2008-01-14;351
2008-01-15;355
2008-01-16;360
2008-01-17;362
2008-01-18;362
2008-01-19;360
2008-01-20;357
2008-01-21;352
2008-01-22;350
2008-01-23;345
2008-01-24;342
2008-01-25;338
2008-01-26;337
2008-01-27;337
2008-01-28;337
2008-01-29;337
2008-01-30;337
2008-01-31;339
2008-02-01;337
2008-02-02;331
2008-02-03;327
2008-02-04;324
2008-02-05;324
2008-02-06;319
2008-02-07;319
2008-02-08;325
2008-02-09;331
2008-02-10;334
2008-02-11;336
2008-02-12;338
2008-02-13;341
2008-02-14;343
2008-02-15;343
2008-02-16;344
2008-02-17;345
2008-02-18;346
2008-02-19;346
2008-02-20;339
2008-02-21;336
2008-02-22;333
2008-02-23;331
2008-02-24;329
2008-02-25;327
2008-02-26;336
2008-02-27;340
2008-02-28;342
2008-02-29;343
2008-03-01;343
2008-03-02;343
2008-03-03;342
2008-03-04;341
2008-03-05;340
2008-03-06;337
2008-03-07;332
2008-03-08;328
2008-03-09;326
2008-03-10;325
2008-03-11;323
2008-03-12;323
2008-03-13;325
2008-03-14;327
2008-03-15;329
2008-03-16;331
2008-03-17;330
2008-03-18;327
2008-03-19;336
2008-03-20;341
2008-03-21;336
2008-03-22;332
2008-03-23;329
2008-03-24;332
2008-03-25;330
2008-03-26;337
2008-03-27;340
2008-03-28;342
2008-03-29;344
2008-03-30;346
2008-03-31;347
2008-04-01;356
2008-04-02;356
2008-04-03;355
2008-04-04;349
2008-04-05;342
2008-04-06;340
2008-04-07;338
2008-04-08;340
2008-04-09;343
2008-04-10;346
2008-04-11;349
2008-04-12;354
2008-04-13;352
2008-04-14;345
2008-04-15;344
2008-04-16;347
2008-04-17;360
2008-04-18;382
2008-04-19;373
2008-04-20;364
2008-04-21;298
2008-04-22;288
2008-04-23;278
2008-04-24;255
2008-04-25;231
2008-04-26;214
2008-04-27;210
2008-04-28;218
2008-04-29;223
2008-04-30;230
2008-05-01;230
2008-05-02;235
2008-05-03;243
2008-05-04;247
2008-05-05;249
2008-05-06;256
2008-05-07;261
2008-05-08;267
2008-05-09;272
2008-05-10;281
2008-05-11;289
2008-05-12;299
2008-05-13;301
2008-05-14;295
2008-05-15;293
2008-05-16;290
2008-05-17;285
2008-05-18;283
2008-05-19;282
2008-05-20;292
2008-05-21;299
2008-05-22;301
2008-05-23;303
2008-05-24;309
2008-05-25;304
2008-05-26;295
2008-05-27;280
2008-05-28;271
2008-05-29;265
2008-05-30;256
2008-05-31;251
2008-06-01;254
2008-06-02;257
2008-06-03;255
2008-06-04;248
2008-06-05;248
2008-06-06;253
2008-06-07;259
2008-06-08;259
2008-06-09;256
2008-06-10;252
2008-06-11;247
2008-06-12;247
2008-06-13;249
2008-06-14;251
2008-06-15;253
2008-06-16;257
2008-06-17;255
2008-06-18;248
2008-06-19;241
2008-06-20;234
2008-06-21;229
2008-06-22;221
2008-06-23;214
2008-06-24;210
2008-06-25;209
2008-06-26;219
2008-06-27;226
2008-06-28;216
2008-06-29;212
2008-06-30;208
2008-07-01;202
2008-07-02;196
2008-07-03;201
2008-07-04;203
2008-07-05;201
2008-07-06;197
2008-07-07;194
2008-07-08;196
2008-07-09;203
2008-07-10;219
2008-07-11;277
2008-07-12;367
2008-07-13;455
2008-07-14;491
2008-07-15;480
2008-07-16;418
2008-07-17;372
2008-07-18;353
2008-07-19;345
2008-07-20;335
2008-07-21;326
2008-07-22;316
2008-07-23;297
2008-07-24;286
2008-07-25;270
2008-07-26;263
2008-07-27;271
2008-07-28;278
2008-07-29;291
2008-07-30;309
2008-07-31;316
2008-08-01;312
2008-08-02;316
2008-08-03;346
2008-08-04;398
2008-08-05;394
2008-08-06;379
2008-08-07;386
2008-08-08;388
2008-08-09;387
2008-08-10;384
2008-08-11;375
2008-08-12;367
2008-08-13;355
2008-08-14;341
2008-08-15;342
2008-08-16;346
2008-08-17;336
2008-08-18;330
2008-08-19;319
2008-08-20;311
2008-08-21;306
2008-08-22;303
2008-08-23;302
2008-08-24;298
2008-08-25;291
2008-08-26;284
2008-08-27;278
2008-08-28;274
2008-08-29;274
2008-08-30;283
2008-08-31;289
2008-09-01;287
2008-09-02;279
2008-09-03;273
2008-09-04;272
2008-09-05;274
2008-09-06;282
2008-09-07;292
2008-09-08;301
2008-09-09;296
2008-09-10;292
2008-09-11;300
2008-09-12;320
2008-09-13;332
2008-09-14;332
2008-09-15;326
2008-09-16;319
2008-09-17;323
2008-09-18;335
2008-09-19;339
2008-09-20;347
2008-09-21;372
2008-09-22;391
2008-09-23;404
2008-09-24;395
2008-09-25;381
2008-09-26;362
2008-09-27;352
2008-09-28;352
2008-09-29;355
2008-09-30;375
2008-10-01;368
2008-10-02;360
2008-10-03;352
2008-10-04;340
2008-10-05;324
2008-10-06;315
2008-10-07;304
2008-10-08;294
2008-10-09;286
2008-10-10;280
2008-10-11;274
2008-10-12;272
2008-10-13;288
2008-10-14;287
2008-10-15;284
2008-10-16;281
2008-10-17;278
2008-10-18;275
2008-10-19;270
2008-10-20;260
2008-10-21;250
2008-10-22;256
2008-10-23;259
2008-10-24;262
2008-10-25;266
2008-10-26;267
2008-10-27;267
2008-10-28;259
2008-10-29;263
2008-10-30;284
2008-10-31;292
2008-11-01;295
2008-11-02;291
2008-11-03;268
2008-11-04;257
2008-11-05;250
2008-11-06;257
2008-11-07;257
2008-11-08;265
2008-11-09;263
2008-11-10;265
2008-11-11;265
2008-11-12;255
2008-11-13;250
2008-11-14;248
2008-11-15;237
2008-11-16;229
2008-11-17;225
2008-11-18;227
2008-11-19;225
2008-11-20;214
2008-11-21;210
2008-11-22;215
2008-11-23;216
2008-11-24;220
2008-11-25;231
2008-11-26;236
2008-11-27;240
2008-11-28;243
2008-11-29;249
2008-11-30;254
2008-12-01;260
2008-12-02;267
2008-12-03;268
2008-12-04;269
2008-12-05;258
2008-12-06;264
2008-12-07;270
2008-12-08;347
2008-12-09;347
2008-12-10;345
2008-12-11;336
2008-12-12;336
2008-12-13;339
2008-12-14;341
2008-12-15;346
2008-12-16;354
2008-12-17;356
2008-12-18;352
2008-12-19;347
2008-12-20;347
2008-12-21;347
2008-12-22;349
2008-12-23;352
2008-12-24;350
2008-12-25;349
2008-12-26;348
2008-12-27;347
2008-12-28;346
2008-12-29;345
2008-12-30;345
2008-12-31;343
2009-01-01;341
2009-01-02;340
2009-01-03;338
2009-01-04;338
2009-01-05;336
2009-01-06;331
2009-01-07;326
2009-01-08;320
2009-01-09;315
2009-01-10;314
2009-01-11;312
2009-01-12;315
2009-01-13;315
2009-01-14;314
2009-01-15;313
2009-01-16;314
2009-01-17;315
2009-01-18;309
2009-01-19;305
2009-01-20;300
2009-01-21;299
2009-01-22;299
2009-01-23;296
2009-01-24;293
2009-01-25;292
2009-01-26;296
2009-01-27;301
2009-01-28;307
2009-01-29;307
2009-01-30;309
2009-01-31;310
2009-02-01;310
2009-02-02;310
2009-02-03;315
2009-02-04;313
2009-02-05;311
2009-02-06;309
2009-02-07;308
2009-02-08;308
2009-02-09;309
2009-02-10;310
2009-02-11;310
2009-02-12;310
2009-02-13;309
2009-02-14;306
2009-02-15;306
2009-02-16;308
2009-02-17;311
2009-02-18;311
2009-02-19;312
2009-02-20;309
2009-02-21;311
2009-02-22;313
2009-02-23;316
2009-02-24;321
2009-02-25;321
2009-02-26;320
2009-02-27;317
2009-02-28;316
2009-03-01;315
2009-03-02;315
2009-03-03;319
2009-03-04;322
2009-03-05;320
2009-03-06;315
2009-03-07;314
2009-03-08;314
2009-03-09;318
2009-03-10;322
2009-03-11;325
2009-03-12;327
2009-03-13;331
2009-03-14;333
2009-03-15;336
2009-03-16;334
2009-03-17;340
2009-03-18;346
2009-03-19;350
2009-03-20;344
2009-03-21;339
2009-03-22;337
2009-03-23;335
2009-03-24;333
2009-03-25;330
2009-03-26;336
2009-03-27;336
2009-03-28;336
2009-03-29;335
2009-03-30;335
2009-03-31;333
2009-04-01;330
2009-04-02;330
2009-04-03;332
2009-04-04;338
2009-04-05;338
2009-04-06;326
2009-04-07;319
2009-04-08;308
2009-04-09;306
2009-04-10;306
2009-04-11;308
2009-04-12;323
2009-04-13;330
2009-04-14;343
2009-04-15;346
2009-04-16;347
2009-04-17;352
2009-04-18;366
2009-04-19;379
2009-04-20;385
2009-04-21;393
2009-04-22;397
2009-04-23;399
2009-04-24;408
2009-04-25;395
2009-04-26;337
2009-04-27;285
