Date;Value
2001-01-11;32
2001-02-11;39
2001-03-11;41
2001-04-11;47
2001-04-12;23
2001-05-12;28
2001-06-11;-12
2001-07-11;-18
2001-08-11;7
2001-08-12;28
2001-09-12;31
2001-10-11;-8
2001-10-12;32
2001-10-20;45
2001-10-21;50
2001-10-22;55
2001-10-23;55
2001-10-24;34
2001-10-25;30
2001-10-26;35
2001-10-27;34
2001-10-28;33
2001-10-29;32
2001-10-30;31
2001-10-31;31
2001-11-01;32
2001-11-02;39
2001-11-03;41
2001-11-04;47
2001-11-05;-12
2001-11-06;-12
2001-11-07;-18
2001-11-08;7
2001-11-09;-8
2001-11-10;-8
2001-11-11;8
2001-11-12;-3
2001-11-13;10
2001-11-14;10
2001-11-15;6
2001-11-16;7
2001-11-17;-10
2001-11-18;-8
2001-11-19;8
2001-11-20;27
2001-11-21;23
2001-11-25;55
2001-11-26;53
2001-11-27;34
2001-11-28;34
2001-11-29;25
2001-11-30;35
2001-12-04;23
2001-12-05;28
2001-12-08;28
2001-12-09;31
2001-12-10;32
2001-12-11;-3
2001-12-15;45
2001-12-18;63
2001-12-19;69
2001-12-20;69
2001-12-21;65
2001-12-22;65
2001-12-23;71
2001-12-24;73
2001-12-25;75
2002-01-01;76
2002-01-02;72
2002-01-03;73
2002-01-04;70
2002-01-05;70
2002-01-06;57
2002-01-07;64
2002-01-08;77
2002-01-09;77
2002-01-10;77
2002-01-11;74
2002-01-12;71
2002-01-13;66
2002-01-14;66
2002-01-15;64
2002-01-16;70
2002-01-17;66
2002-01-18;67
2002-01-19;78
2002-01-20;89
2002-01-21;108
2002-01-22;106
2002-01-23;90
2002-01-24;77
2002-01-25;75
2002-01-26;81
2002-01-27;82
2002-01-28;98
2002-01-29;104
2002-01-30;89
2002-01-31;80
2002-02-01;82
2002-02-02;96
2002-02-03;98
2002-02-04;102
2002-02-05;102
2002-02-06;84
2002-02-07;78
2002-02-08;87
2002-02-09;90
2002-02-10;92
2002-02-11;95
2002-02-12;100
2002-02-13;105
2002-02-14;104
2002-02-15;104
2002-02-16;106
2002-02-17;101
2002-02-18;96
2002-02-19;111
2002-02-20;113
2002-02-21;111
2002-02-22;99
2002-02-23;97
2002-02-24;90
2002-02-25;91
2002-02-26;87
2002-02-27;77
2002-02-28;71
2002-03-06;88
2002-03-07;90
2002-03-08;26
2002-03-09;99
2002-03-10;99
2002-03-11;90
2002-03-12;95
2002-03-13;114
2002-03-14;122
2002-03-15;128
2002-03-16;125
2002-03-17;114
2002-03-18;105
2002-03-19;92
2002-03-20;91
2002-03-21;77
2002-03-22;71
2002-03-23;78
2002-03-24;78
2002-03-25;79
2002-03-26;81
2002-03-27;75
2002-03-28;67
2002-03-29;65
2002-03-30;83
2002-03-31;99
2002-04-01;104
2002-04-02;104
2002-04-03;98
2002-04-04;91
2002-04-05;86
2002-04-06;86
2002-04-07;92
2002-04-08;98
2002-04-09;100
2002-04-10;98
2002-04-11;117
2002-04-12;117
2002-04-13;101
2002-04-14;112
2002-04-15;122
2002-04-16;127
2002-04-17;125
2002-04-18;102
2002-04-19;98
2002-04-20;110
2002-04-21;109
2002-04-22;117
2002-04-23;120
2002-04-24;110
2002-04-25;86
2002-04-26;85
2002-04-27;86
2002-04-28;85
2002-04-29;65
2002-04-30;72
2002-05-01;79
2002-05-02;72
2002-05-03;97
2002-05-04;117
2002-05-05;125
2002-05-06;113
2002-05-07;113
2002-05-08;106
2002-05-09;104
2002-05-10;94
2002-05-11;101
2002-05-12;121
2002-05-13;141
2002-05-14;165
2002-05-15;185
2002-05-16;190
2002-05-17;193
2002-05-18;191
2002-05-19;184
2002-05-20;178
2002-05-21;161
2002-05-22;145
2002-05-23;133
2002-05-24;127
2002-05-25;126
2002-05-26;152
2002-05-27;147
2002-05-28;124
2002-05-29;97
2002-05-30;76
2002-05-31;88
2002-06-01;108
2002-06-02;193
2002-06-03;230
2002-06-04;222
2002-06-05;185
2002-06-06;160
2002-06-07;137
2002-06-08;117
2002-06-09;96
2002-06-10;96
2002-06-11;102
2002-06-12;99
2002-06-13;94
2002-06-14;86
2002-06-15;80
2002-06-16;72
2002-06-17;64
2002-06-18;57
2002-06-19;51
2002-06-20;44
2002-06-21;47
2002-06-22;62
2002-06-23;99
2002-06-24;104
2002-06-25;101
2002-06-26;92
2002-06-27;85
2002-06-28;88
2002-06-29;79
2002-06-30;72
2002-07-01;61
2002-07-02;27
2002-07-03;37
2002-07-04;72
2002-07-05;91
2002-07-06;107
2002-07-07;117
2002-07-08;112
2002-07-09;100
2002-07-10;84
2002-07-11;79
2002-07-12;86
2002-07-17;166
2002-07-18;142
2002-07-19;118
2002-07-22;350
2002-07-23;67
2002-07-24;65
2002-07-25;71
2002-07-26;70
2002-07-29;108
2002-07-30;165
2002-07-31;134
2002-08-01;108
2002-08-02;113
2002-08-03;125
2002-08-04;126
2002-08-05;136
2002-08-06;150
2002-08-07;189
2002-08-08;244
2002-08-09;259
2002-08-10;250
2002-08-11;236
2002-08-12;208
2002-08-13;165
2002-08-14;131
2002-08-15;114
2002-08-16;106
2002-08-20;98
2002-08-21;81
2002-08-22;75
2002-08-23;75
2002-08-24;72
2002-08-25;72
2002-08-26;73
2002-08-27;72
2002-08-28;61
2002-08-29;62
2002-08-30;71
2002-08-31;71
2002-09-01;68
2002-09-02;73
2002-09-03;75
2002-09-04;66
2002-09-05;75
2002-09-06;126
2002-09-07;221
2002-09-08;256
2002-09-09;230
2002-09-10;181
2002-09-11;143
2002-09-12;118
2002-09-13;109
2002-09-14;109
2002-09-15;103
2002-09-16;101
2002-09-17;106
2002-09-18;97
2002-09-19;87
2002-09-20;86
2002-09-21;84
2002-09-22;76
2002-09-23;76
2002-09-24;74
2002-09-25;69
2002-09-26;69
2002-09-27;77
2002-09-28;75
2002-09-29;71
2002-09-30;68
2002-10-01;68
2002-10-02;58
2002-10-03;54
2002-10-04;50
2002-10-05;42
2002-10-06;37
2002-10-07;37
2002-10-08;28
2002-10-09;18
2002-10-10;14
2002-10-11;14
2002-10-12;28
2002-10-13;22
2002-10-14;20
2002-10-15;23
2002-10-16;15
2002-10-17;14
2002-10-18;25
2002-10-19;37
2002-10-20;38
2002-10-21;26
2002-10-22;25
2002-10-23;24
2002-10-24;23
2002-10-25;27
2002-10-26;28
2002-10-27;37
2002-10-28;38
2002-10-29;28
2002-10-30;14
2002-10-31;12
2002-11-01;7
2002-11-02;11
2002-11-03;19
2002-11-04;24
2002-11-05;23
2002-11-06;7
2002-11-07;5
2002-11-08;-11
2002-11-09;-15
2002-11-10;-33
2002-11-11;-18
2002-11-12;-19
2002-11-13;-22
2002-11-14;-19
2002-11-15;0
2002-11-16;1
2002-11-17;4
2002-11-18;10
2002-11-19;17
2002-11-20;13
2002-11-21;8
2002-11-22;4
2002-11-23;-1
2002-11-24;-9
2002-11-25;-11
2002-11-26;-12
2002-11-27;-4
2002-11-28;-4
2002-11-29;-2
2002-11-30;-6
2002-12-01;-5
2002-12-02;3
2002-12-03;4
2002-12-04;14
2002-12-05;22
2002-12-06;15
2002-12-07;21
2002-12-08;27
2002-12-09;27
2002-12-10;29
2002-12-11;47
2002-12-12;47
2002-12-13;47
2002-12-14;59
2002-12-15;67
2002-12-16;76
2002-12-17;75
2002-12-18;60
2002-12-19;50
2002-12-20;50
2002-12-21;56
2002-12-22;70
2002-12-23;70
2002-12-24;67
2002-12-25;70
2002-12-26;59
2002-12-27;64
2002-12-28;80
2002-12-29;92
2002-12-30;97
2002-12-31;97
2003-01-01;90
2003-01-02;70
2003-01-03;70
2003-01-04;61
2003-01-05;59
2003-01-06;50
2003-01-07;63
2003-01-08;67
2003-01-09;83
2003-01-10;86
2003-01-11;67
2003-01-12;59
2003-01-13;69
2003-01-14;75
2003-01-15;75
2003-01-16;86
2003-01-17;79
2003-01-18;95
2003-01-19;106
2003-01-20;108
2003-01-21;103
2003-01-22;91
2003-01-23;79
2003-01-24;86
2003-01-25;96
2003-01-26;96
2003-01-27;114
2003-01-28;130
2003-01-29;130
2003-01-30;103
2003-01-31;98
2003-02-01;128
2003-02-02;139
2003-02-03;151
2003-02-04;141
2003-02-05;138
2003-02-06;159
2003-02-07;163
2003-02-08;173
2003-02-09;171
2003-02-10;168
2003-02-11;162
2003-02-12;145
2003-02-13;113
2003-02-14;140
2003-02-15;144
2003-02-16;168
2003-02-17;173
2003-02-18;173
2003-02-19;169
2003-02-20;166
2003-02-21;144
2003-02-22;124
2003-02-23;107
2003-02-24;107
2003-02-25;104
2003-03-06;103
2003-03-07;113
2003-03-08;118
2003-03-09;126
2003-03-10;140
2003-03-11;135
2003-03-12;129
2003-03-13;122
2003-03-14;127
2003-03-15;132
2003-03-16;137
2003-03-17;122
2003-03-18;117
2003-03-19;100
2003-03-20;90
2003-03-21;97
2003-03-22;102
2003-03-23;83
2003-03-24;80
2003-03-25;78
2003-03-26;75
2003-03-27;75
2003-03-28;87
2003-03-29;92
2003-03-30;95
2003-03-31;93
2003-04-01;93
2003-04-02;103
2003-04-03;97
2003-04-04;94
2003-04-05;103
2003-04-10;143
2003-04-11;131
2003-04-12;126
2003-04-13;125
2003-04-14;120
2003-04-15;117
2003-04-16;117
2003-04-17;118
2003-04-18;126
2003-04-19;126
2003-04-20;123
2003-04-21;122
2003-04-22;130
2003-04-23;136
2003-04-24;136
2003-04-25;138
2003-04-26;149
2003-04-27;147
2003-04-28;150
2003-04-29;135
2003-04-30;131
2003-05-01;135
2003-05-02;128
2003-05-03;103
2003-05-04;39
2003-05-05;52
2003-05-06;43
2003-05-07;39
2003-05-08;9
2003-05-09;17
2003-05-10;19
2003-05-11;25
2003-05-12;23
2003-05-13;8
2003-05-14;1
2003-05-15;1
2003-05-16;17
2003-05-17;12
2003-05-18;12
2003-05-19;22
2003-05-20;31
2003-05-21;20
2003-05-22;16
2003-05-23;14
2003-05-24;44
2003-05-25;49
2003-05-26;45
2003-05-27;45
2003-05-28;105
2003-05-29;169
2003-05-30;217
2003-05-31;204
2003-06-01;189
2003-06-02;253
2003-06-03;314
2003-06-04;335
2003-06-05;273
2003-06-06;224
2003-06-07;185
2003-06-08;160
2003-06-09;129
2003-06-10;114
2003-06-15;194
2003-06-16;143
2003-06-17;121
2003-06-18;98
2003-06-19;87
2003-06-20;95
2003-06-21;98
2003-06-22;96
2003-06-23;85
2003-06-24;108
2003-06-25;159
2003-06-26;167
2003-06-27;195
2003-06-28;217
2003-06-29;220
2003-06-30;197
2003-07-01;155
2003-07-02;167
2003-07-03;229
2003-07-04;262
2003-07-05;273
2003-07-06;273
2003-07-07;280
2003-07-08;283
2003-07-09;274
2003-07-10;300
2003-07-11;352
2003-07-12;359
2003-07-13;356
2003-07-14;369
2003-07-15;387
2003-07-16;348
2003-07-21;333
2003-07-22;322
2003-07-23;290
2003-07-24;256
2003-07-25;227
2003-07-26;198
2003-07-27;195
2003-07-28;219
2003-07-29;216
2003-07-30;212
2003-07-31;212
2003-08-01;228
2003-08-02;265
2003-08-03;294
2003-08-04;307
2003-08-05;307
2003-08-06;264
2003-08-07;248
2003-08-08;199
2003-08-09;165
2003-08-10;146
2003-08-11;140
2003-08-12;121
2003-08-13;100
2003-08-14;102
2003-08-15;142
2003-08-16;140
2003-08-17;137
2003-08-18;149
2003-08-19;163
2003-08-20;169
2003-08-21;175
2003-08-22;192
2003-08-23;225
2003-08-24;250
2003-08-25;259
2003-08-26;251
2003-08-27;220
2003-08-28;193
2003-08-29;180
2003-08-30;172
2003-08-31;253
2003-09-01;307
2003-09-02;313
2003-09-03;257
2003-09-04;217
2003-09-05;194
2003-09-06;193
2003-09-07;170
2003-09-08;149
2003-09-09;137
2003-09-10;120
2003-09-11;108
2003-09-12;118
2003-09-13;115
2003-09-14;126
2003-09-15;163
2003-09-16;180
2003-09-17;194
2003-09-18;245
2003-09-19;257
2003-09-20;268
2003-09-21;298
2003-09-22;312
2003-09-23;301
2003-09-24;283
2003-09-25;266
2003-09-26;248
2003-09-27;237
2003-09-28;238
2003-09-29;253
2003-09-30;249
2003-10-01;225
2003-10-02;212
2003-10-03;206
2003-10-04;191
2003-10-05;169
2003-10-06;155
2003-10-07;145
2003-10-08;127
2003-10-09;118
2003-10-10;109
2003-10-11;106
2003-10-12;106
2003-10-13;104
2003-10-14;101
2003-10-15;96
2003-10-16;102
2003-10-17;105
2003-10-18;99
2003-10-19;99
2003-10-20;92
2003-10-21;93
2003-10-22;84
2003-10-23;78
2003-10-24;81
2003-10-25;78
2003-10-26;80
2003-10-27;83
2003-10-28;78
2003-10-29;53
2003-10-30;51
2003-10-31;51
2003-11-01;49
2003-11-02;41
2003-11-03;41
2003-11-04;38
2003-11-05;13
2003-11-06;1
2003-11-07;-3
2003-11-08;-10
2003-11-09;5
2003-11-10;13
2003-11-11;34
2003-11-12;38
2003-11-13;48
2003-11-14;66
2003-11-15;76
2003-11-16;100
2003-11-17;132
2003-11-18;121
2003-11-19;114
2003-11-20;98
2003-11-21;94
2003-11-22;102
2003-11-23;137
2003-11-24;141
2003-11-25;153
2003-11-29;160
2003-11-30;188
2003-12-01;184
2003-12-02;189
2003-12-03;196
2003-12-04;185
2003-12-05;179
2003-12-06;160
2003-12-07;158
2003-12-08;146
2003-12-09;139
2003-12-10;132
2003-12-11;127
2003-12-12;124
2003-12-13;141
2003-12-14;146
2003-12-15;143
2003-12-16;143
2003-12-17;140
2003-12-18;137
2003-12-19;132
2003-12-20;134
2003-12-21;141
2003-12-22;151
2003-12-23;149
2003-12-24;142
2003-12-25;127
2003-12-26;114
2003-12-27;114
2003-12-28;135
2003-12-29;135
2003-12-30;141
2003-12-31;136
2004-01-01;124
2004-01-02;109
2004-01-03;109
2004-01-04;110
2004-01-05;111
2004-01-11;112
2004-01-12;109
2004-01-13;108
2004-01-14;101
2004-01-15;100
2004-01-16;93
2004-01-17;95
2004-01-18;99
2004-01-19;99
2004-01-20;103
2004-01-21;105
2004-01-22;120
2004-01-23;116
2004-01-24;101
2004-01-25;114
2004-01-26;104
2004-01-27;101
2004-01-28;86
2004-01-29;78
2004-01-30;81
2004-01-31;85
2004-02-01;101
2004-02-02;103
2004-02-03;101
2004-02-04;92
2004-02-05;87
2004-02-06;91
2004-02-07;91
2004-02-08;94
2004-02-09;101
2004-02-10;102
2004-02-11;96
2004-02-12;94
2004-02-13;94
2004-02-14;95
2004-02-15;95
2004-02-16;91
2004-02-17;84
2004-02-18;79
2004-02-19;73
2004-02-20;76
2004-02-21;100
2004-02-22;100
2004-02-23;105
2004-02-24;114
2004-02-25;122
2004-02-26;114
2004-02-27;116
2004-02-28;118
2004-02-29;117
2004-03-01;107
2004-03-02;117
2004-03-03;123
2004-03-04;113
2004-03-05;119
2004-03-06;133
2004-03-07;131
2004-03-08;127
2004-03-09;127
2004-03-10;120
2004-03-11;104
2004-03-12;99
2004-03-13;114
2004-03-14;118
2004-03-15;120
2004-03-21;121
2004-03-22;124
2004-03-23;101
2004-03-24;99
2004-03-25;86
2004-03-26;64
2004-03-27;69
2004-03-28;74
2004-03-29;75
2004-03-30;70
2004-03-31;70
2004-04-01;64
2004-04-02;67
2004-04-03;64
2004-04-04;59
2004-04-05;69
2004-04-06;103
2004-04-07;122
2004-04-08;129
2004-04-09;132
2004-04-10;217
2004-04-11;224
2004-04-12;243
2004-04-13;215
2004-04-14;220
2004-04-15;222
2004-04-16;210
2004-04-17;208
2004-04-18;212
2004-04-19;212
2004-04-20;222
2004-04-21;218
2004-04-22;190
2004-04-23;218
2004-04-24;284
2004-04-25;258
2004-04-26;263
2004-04-27;246
2004-04-28;196
2004-04-29;191
2004-04-30;194
2004-05-01;192
2004-05-02;194
2004-05-03;203
2004-05-04;200
2004-05-05;189
2004-05-06;178
2004-05-07;174
